Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NOX3,Lymphocyte,PTSD,Wald ratio,1,1.032,2.74E-01,NA,NA,NA,0.003024203
NDUFA6-AS1,Lymphocyte,PTSD,Wald ratio,1,0.964,2.79E-01,NA,NA,NA,0.031305912
KALRN,Lymphocyte,PTSD,Wald ratio,1,0.982,2.79E-01,NA,NA,NA,0.011949223
ADK,Lymphocyte,PTSD,Wald ratio,1,0.994,2.83E-01,NA,NA,NA,0.009045946
RP1-90J20.11,Lymphocyte,PTSD,Wald ratio,1,0.983,2.87E-01,NA,NA,NA,0.01331438
ANKRD13D,Lymphocyte,PTSD,Wald ratio,1,1.019,2.87E-01,NA,NA,NA,1.19E-05
RP1-148H17.1,Lymphocyte,PTSD,Wald ratio,1,0.972,2.88E-01,NA,NA,NA,0.004684259
RP11-565N2.1,Lymphocyte,PTSD,Wald ratio,1,0.99,2.89E-01,NA,NA,NA,0.010803731
PTPRA,Lymphocyte,PTSD,Wald ratio,1,1.015,2.89E-01,NA,NA,NA,0.012801015
DOK7,Lymphocyte,PTSD,Wald ratio,1,0.984,2.92E-01,NA,NA,NA,0.000145922
GABPA,Lymphocyte,PTSD,Wald ratio,1,0.977,2.92E-01,NA,NA,NA,0.00605507
RP11-861A13.4,Lymphocyte,PTSD,Wald ratio,1,0.967,2.93E-01,NA,NA,NA,0.000455459
KLK1,Lymphocyte,PTSD,Wald ratio,1,1.039,2.93E-01,NA,NA,NA,2.59E-06
ZNF155,Lymphocyte,PTSD,Wald ratio,1,1.01,2.94E-01,NA,NA,NA,0.00044776
ADAMTS12,Lymphocyte,PTSD,Wald ratio,1,1.022,2.95E-01,NA,NA,NA,0.010670318
CTD-2247C11.1,Lymphocyte,PTSD,Wald ratio,1,1.035,2.96E-01,NA,NA,NA,0.038112452
ZHX2,Lymphocyte,PTSD,Wald ratio,1,0.964,2.96E-01,NA,NA,NA,0.001996302
SPERT,Lymphocyte,PTSD,Wald ratio,1,1.033,2.98E-01,NA,NA,NA,0.007125163
SV2C,Lymphocyte,PTSD,Wald ratio,1,1.037,3.00E-01,NA,NA,NA,0.00714322
HOXB2,Lymphocyte,PTSD,Wald ratio,1,0.987,3.02E-01,NA,NA,NA,0.00021446
TAF1D,Lymphocyte,PTSD,Wald ratio,1,1.013,3.05E-01,NA,NA,NA,0.012630524
