Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
CAPN2,Brain Hippocampus,PTSD,Wald ratio,1,1.117,3.72E-03,NA,NA,NA,0.001503696
DPY19L1P1,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.103,3.72E-03,NA,NA,NA,0.000397505
P2RX5,Brain Substantia nigra,PTSD,Wald ratio,1,0.86,3.74E-03,NA,NA,NA,0.090621804
TAX1BP3,Brain Substantia nigra,PTSD,Wald ratio,1,0.86,3.74E-03,NA,NA,NA,0.090621804
ADGRA3,Brain Substantia nigra,PTSD,Wald ratio,1,0.9,3.77E-03,NA,NA,NA,0.000312133
AP3M1,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.202,3.78E-03,NA,NA,NA,0.000139262
CRLS1,Brain Hypothalamus,PTSD,Wald ratio,1,0.925,3.91E-03,NA,NA,NA,0.160653953
YEATS2,Brain Substantia nigra,PTSD,Wald ratio,1,0.932,3.99E-03,NA,NA,NA,0.00034725
TRAPPC10,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.1,4.00E-03,NA,NA,NA,0.00084358
TSPAN18,Brain Substantia nigra,PTSD,Wald ratio,1,1.431,4.02E-03,NA,NA,NA,0.000182684
PRRT4,Brain Putamen basal ganglia,PTSD,Wald ratio,1,0.859,4.03E-03,NA,NA,NA,0.000284762
ACSL5,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.044,4.13E-03,NA,NA,NA,0.000535144
GPLD1,Brain Hippocampus,PTSD,Wald ratio,1,1.119,4.16E-03,NA,NA,NA,0.000243762
FREM1,Brain Hypothalamus,PTSD,Wald ratio,1,0.913,4.17E-03,NA,NA,NA,0.003675482
RECQL,Brain Hypothalamus,PTSD,Wald ratio,1,0.924,4.17E-03,NA,NA,NA,0.019786739
GHRHR,Brain Hypothalamus,PTSD,Wald ratio,1,0.884,4.24E-03,NA,NA,NA,0.000625197
FAM151B-DT,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.104,4.24E-03,NA,NA,NA,0.000212278
STRADA,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.085,4.25E-03,NA,NA,NA,0.087934663
ISCA1,Brain Hypothalamus,PTSD,Wald ratio,1,0.92,4.30E-03,NA,NA,NA,0.000288064
CSE1L,Brain Hypothalamus,PTSD,Wald ratio,1,1.108,4.40E-03,NA,NA,NA,0.031551651
CSE1L,Brain Spinal cord cervical,PTSD,Wald ratio,1,1.068,4.40E-03,NA,NA,NA,0.152105639
MARCHF2,Brain Substantia nigra,PTSD,Wald ratio,1,1.064,4.42E-03,NA,NA,NA,0.103723628
DUBR,Brain Spinal cord cervical,PTSD,Wald ratio,1,0.941,4.43E-03,NA,NA,NA,0.000427821
MAP4K5,Brain Putamen basal ganglia,PTSD,Wald ratio,1,1.103,4.46E-03,NA,NA,NA,0.001524021
RPL23AP97,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.174,4.48E-03,NA,NA,NA,0.000520223
CHAMP1,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,1.174,4.48E-03,NA,NA,NA,0.000520223
NOPCHAP1,Brain Substantia nigra,PTSD,Wald ratio,1,1.048,4.50E-03,NA,NA,NA,0.000218897
SH3D21,Brain Nucleus accumbens basal ganglia,PTSD,Wald ratio,1,0.883,4.58E-03,NA,NA,NA,0.00197466
ACAT1,Brain Hippocampus,PTSD,Wald ratio,1,1.105,4.64E-03,NA,NA,NA,0.010690928
PLAC9P1,Brain Substantia nigra,PTSD,Wald ratio,1,1.08,4.66E-03,NA,NA,NA,0.00076318
