Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ENSG00000286780,Brain,ALZ,Wald ratio,1,1.056,1.00E-01,NA,NA,NA,0.01903188
COPG2,Brain,ALZ,Wald ratio,1,0.933,1.02E-01,NA,NA,NA,0.023248597
ANKS1A,Brain,ALZ,Wald ratio,1,1.027,1.02E-01,NA,NA,NA,0.018732098
MYT1L,Brain,ALZ,Wald ratio,1,1.087,1.04E-01,NA,NA,NA,0.03361387
RPL3L,Brain,ALZ,Wald ratio,1,0.94,1.05E-01,NA,NA,NA,0.018720966
ENSG00000230333,Brain,ALZ,Wald ratio,1,1.058,1.05E-01,NA,NA,NA,0.020986578
SYNDIG1,Brain,ALZ,Wald ratio,1,1.064,1.06E-01,NA,NA,NA,0.021829082
ENSG00000288588,Brain,ALZ,Wald ratio,1,0.873,1.08E-01,NA,NA,NA,0.056132002
AHNAK2,Brain,ALZ,Wald ratio,1,0.948,1.10E-01,NA,NA,NA,0.022677435
PIP4K2A,Brain,ALZ,Wald ratio,1,0.908,1.11E-01,NA,NA,NA,0.027393044
HELB,Brain,ALZ,Wald ratio,1,1.047,1.11E-01,NA,NA,NA,0.017026993
MKRN2OS,Brain,ALZ,Wald ratio,1,0.948,1.11E-01,NA,NA,NA,0.024363296
TRIB3,Brain,ALZ,Wald ratio,1,1.038,1.13E-01,NA,NA,NA,0.01703688
ZNF396,Brain,ALZ,Wald ratio,1,0.956,1.13E-01,NA,NA,NA,0.017326267
CCDC117,Brain,ALZ,Wald ratio,1,0.945,1.15E-01,NA,NA,NA,0.017917943
OXR1,Brain,ALZ,Wald ratio,1,0.975,1.16E-01,NA,NA,NA,0.016787524
LINC01117,Brain,ALZ,Wald ratio,1,1.032,1.16E-01,NA,NA,NA,0.016787524
CCDC85C,Brain,ALZ,Wald ratio,1,1.06,1.17E-01,NA,NA,NA,0.017078058
SLC35A1,Brain,ALZ,Wald ratio,1,0.962,1.20E-01,NA,NA,NA,0.016259704
ENSG00000258603,Brain,ALZ,Wald ratio,1,0.843,1.20E-01,NA,NA,NA,0.049898271
ENSG00000225096,Brain,ALZ,Inverse variance weighted,2,0.944,1.20E-01,NA,0.388680496,NA,0.011674578
COL18A1,Brain,ALZ,Wald ratio,1,0.909,1.21E-01,NA,NA,NA,0.027553741
PEX14,Brain,ALZ,Wald ratio,1,1.122,1.22E-01,NA,NA,NA,0.036721058
ENSG00000288583,Brain,ALZ,Wald ratio,1,1.06,1.25E-01,NA,NA,NA,0.016942432
PER2,Brain,ALZ,Wald ratio,1,1.057,1.27E-01,NA,NA,NA,0.019564627
RPN1,Brain,ALZ,Wald ratio,1,0.926,1.27E-01,NA,NA,NA,0.038724033
TRPS1,Brain,ALZ,Wald ratio,1,1.038,1.27E-01,NA,NA,NA,0.015531421
INPP5A,Brain,ALZ,Wald ratio,1,0.775,1.27E-01,NA,NA,NA,0.061575105
FOXP1,Brain,ALZ,Wald ratio,1,0.956,1.29E-01,NA,NA,NA,0.015561882
SCARB2,Brain,ALZ,Wald ratio,1,0.926,1.33E-01,NA,NA,NA,0.021196523
PEX5L,Brain,ALZ,Wald ratio,1,1.044,1.35E-01,NA,NA,NA,0.016615313
PTPRM,Brain,ALZ,Wald ratio,1,0.962,1.35E-01,NA,NA,NA,0.014553089
DPP6,Brain,ALZ,Wald ratio,1,0.947,1.35E-01,NA,NA,NA,0.023592441
ADARB2,Brain,ALZ,Inverse variance weighted,2,0.967,1.37E-01,NA,0.862057559,NA,0.006538371
TMOD1,Brain,ALZ,Wald ratio,1,0.941,1.38E-01,NA,NA,NA,0.018192179
GALNT2,Brain,ALZ,Wald ratio,1,0.941,1.39E-01,NA,NA,NA,0.018231856
DMAC1,Brain,ALZ,Wald ratio,1,1.047,1.39E-01,NA,NA,NA,0.016771198
ENSG00000224746,Brain,ALZ,Wald ratio,1,1.071,1.40E-01,NA,NA,NA,0.02583397
GLIPR2,Brain,ALZ,Wald ratio,1,1.058,1.41E-01,NA,NA,NA,0.01504921
FKRP,Brain,ALZ,Wald ratio,1,0.945,1.42E-01,NA,NA,NA,0.016268725
ENSG00000286679,Brain,ALZ,Wald ratio,1,1.028,1.42E-01,NA,NA,NA,0.015387532
CDC42BPA,Brain,ALZ,Wald ratio,1,1.067,1.44E-01,NA,NA,NA,0.020221551
ADCY1,Brain,ALZ,Wald ratio,1,0.949,1.44E-01,NA,NA,NA,0.014252994
RLF,Brain,ALZ,Wald ratio,1,0.961,1.44E-01,NA,NA,NA,0.015769932
ATP8B4,Brain,ALZ,Wald ratio,1,1.105,1.45E-01,NA,NA,NA,0.025513206
GSDME,Brain,ALZ,Wald ratio,1,1.041,1.46E-01,NA,NA,NA,0.014298852
ENSG00000257943,Brain,ALZ,Wald ratio,1,1.051,1.46E-01,NA,NA,NA,0.014298845
ST8SIA5-DT,Brain,ALZ,Wald ratio,1,1.045,1.47E-01,NA,NA,NA,0.014050635
STMN4,Brain,ALZ,Wald ratio,1,1.017,1.48E-01,NA,NA,NA,0.014098351
SCYL1,Brain,ALZ,Wald ratio,1,0.948,1.51E-01,NA,NA,NA,0.025911608
GRB10,Brain,ALZ,Wald ratio,1,1.086,1.52E-01,NA,NA,NA,0.020968253
RASGRP3,Brain,ALZ,Wald ratio,1,0.948,1.54E-01,NA,NA,NA,0.014003186
ZNF598,Brain,ALZ,Wald ratio,1,0.947,1.54E-01,NA,NA,NA,0.017417329
EFEMP1,Brain,ALZ,Wald ratio,1,1.078,1.54E-01,NA,NA,NA,0.022303113
CASP8,Brain,ALZ,Wald ratio,1,0.957,1.54E-01,NA,NA,NA,0.014348567
AGPAT3,Brain,ALZ,Wald ratio,1,0.865,1.55E-01,NA,NA,NA,0.042197741
FRK,Brain,ALZ,Wald ratio,1,1.04,1.56E-01,NA,NA,NA,0.01346799
SV2B,Brain,ALZ,Wald ratio,1,1.023,1.57E-01,NA,NA,NA,0.013521154
EVL,Brain,ALZ,Wald ratio,1,1.26,1.58E-01,NA,NA,NA,0.057944086
ENSG00000286126,Brain,ALZ,Wald ratio,1,0.95,1.59E-01,NA,NA,NA,0.013922117
RUNX2,Brain,ALZ,Wald ratio,1,1.024,1.59E-01,NA,NA,NA,0.013922136
RPL13,Brain,ALZ,Wald ratio,1,0.966,1.60E-01,NA,NA,NA,0.017153984
EPHA10,Brain,ALZ,Wald ratio,1,1.026,1.63E-01,NA,NA,NA,0.014435451
ENSG00000274949,Brain,ALZ,Wald ratio,1,1.053,1.64E-01,NA,NA,NA,0.013212395
LRRIQ4,Brain,ALZ,Wald ratio,1,0.964,1.64E-01,NA,NA,NA,0.013212685
ETHE1,Brain,ALZ,Wald ratio,1,0.94,1.66E-01,NA,NA,NA,0.016223879
CREB5,Brain,ALZ,Wald ratio,1,1.045,1.68E-01,NA,NA,NA,0.013095927
MAGI2,Brain,ALZ,Wald ratio,1,1.044,1.68E-01,NA,NA,NA,0.012454158
RARRES1,Brain,ALZ,Wald ratio,1,1.057,1.69E-01,NA,NA,NA,0.013794808
SNHG28,Brain,ALZ,Wald ratio,1,1.05,1.69E-01,NA,NA,NA,0.01547655
ANXA4,Brain,ALZ,Wald ratio,1,0.959,1.70E-01,NA,NA,NA,0.012513923
ENSG00000285492,Brain,ALZ,Wald ratio,1,1.136,1.72E-01,NA,NA,NA,0.042516364
DNAJC18,Brain,ALZ,Wald ratio,1,1.041,1.74E-01,NA,NA,NA,0.014097201
ZFP82,Brain,ALZ,Wald ratio,1,1.048,1.74E-01,NA,NA,NA,0.01275767
TRIM65,Brain,ALZ,Wald ratio,1,1.065,1.75E-01,NA,NA,NA,0.017848572
NT5C1A,Brain,ALZ,Wald ratio,1,0.939,1.76E-01,NA,NA,NA,0.016245569
CIAO3,Brain,ALZ,Wald ratio,1,0.94,1.77E-01,NA,NA,NA,0.014979307
BCL2L1,Brain,ALZ,Wald ratio,1,0.941,1.79E-01,NA,NA,NA,0.01440594
H4C2,Brain,ALZ,Wald ratio,1,1.034,1.79E-01,NA,NA,NA,0.012016454
