Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
GRPEL1,Lymphocyte,SCZ,Wald ratio,1,1.638,1.00E-03,NA,NA,NA,0.55560237
ERCC4,Lymphocyte,SCZ,Wald ratio,1,0.804,1.09E-03,NA,NA,NA,0.479843025
DSTYK,Lymphocyte,SCZ,Wald ratio,1,0.408,1.11E-03,NA,NA,NA,0.470623181
SLC1A1,Lymphocyte,SCZ,Wald ratio,1,0.354,1.13E-03,NA,NA,NA,0.501119532
LOC154449,Lymphocyte,SCZ,Wald ratio,1,1.053,1.21E-03,NA,NA,NA,0.521876712
PCBP3,Lymphocyte,SCZ,Wald ratio,1,1.038,1.24E-03,NA,NA,NA,0.465044971
SLC47A1,Lymphocyte,SCZ,Wald ratio,1,1.052,1.29E-03,NA,NA,NA,0.445267433
SEMA6D,Lymphocyte,SCZ,Wald ratio,1,0.968,1.30E-03,NA,NA,NA,0.457951576
CCT2,Lymphocyte,SCZ,Wald ratio,1,0.967,1.30E-03,NA,NA,NA,0.435195412
ITPKB,Lymphocyte,SCZ,Wald ratio,1,0.491,1.34E-03,NA,NA,NA,0.482675531
TP53BP2,Lymphocyte,SCZ,Wald ratio,1,1.093,1.36E-03,NA,NA,NA,0.55539537
C11orf46,Lymphocyte,SCZ,Wald ratio,1,0.871,1.37E-03,NA,NA,NA,0.462990763
FBXL17,Lymphocyte,SCZ,Wald ratio,1,0.966,1.38E-03,NA,NA,NA,0.414558478
BDNF,Lymphocyte,SCZ,Wald ratio,1,5.596,1.40E-03,NA,NA,NA,0.441118523
ATPGD1,Lymphocyte,SCZ,Wald ratio,1,0.031,1.40E-03,NA,NA,NA,0.591367661
SSH3,Lymphocyte,SCZ,Wald ratio,1,0.85,1.40E-03,NA,NA,NA,0.591367661
C17orf28,Lymphocyte,SCZ,Wald ratio,1,1.061,1.42E-03,NA,NA,NA,0.567362793
UTRN,Lymphocyte,SCZ,Wald ratio,1,0.908,1.44E-03,NA,NA,NA,0.405347062
CDC73,Lymphocyte,SCZ,Wald ratio,1,2.847,1.45E-03,NA,NA,NA,0.419751646
RAB5A,Lymphocyte,SCZ,Wald ratio,1,4.144,1.50E-03,NA,NA,NA,0.439243606
FAM166B,Lymphocyte,SCZ,Wald ratio,1,1.048,1.54E-03,NA,NA,NA,0.457562661
COQ3,Lymphocyte,SCZ,Wald ratio,1,1.059,1.56E-03,NA,NA,NA,0.387232805
TREM1,Lymphocyte,SCZ,Wald ratio,1,0.187,1.62E-03,NA,NA,NA,0.540858792
