Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
EIPR1,Brain Meta Analysis,OCD,Inverse variance weighted,2,0.888,1.60E-02,NA,0.881223986,NA,0.036505357
TOX4,Brain Meta Analysis,OCD,Wald ratio,1,0.875,1.61E-02,NA,NA,NA,0.193147953
ENSG00000255026,Brain Cortex,OCD,Wald ratio,1,1.137,1.62E-02,NA,NA,NA,0.024786936
NPFFR1,Brain Cortex,OCD,Wald ratio,1,1.237,1.65E-02,NA,NA,NA,0.290241601
KCNIP4,Brain Cortex,OCD,Wald ratio,1,1.277,1.65E-02,NA,NA,NA,0.029371491
CELF4,Brain Cortex,OCD,Wald ratio,1,1.168,1.67E-02,NA,NA,NA,0.081716983
VPS28,Fetal Brain,OCD,Wald ratio,1,0,1.67E-02,NA,NA,NA,0.263118082
MYL12B,Fetal Brain,OCD,Wald ratio,1,0,1.68E-02,NA,NA,NA,0.187997407
DLG2,Brain Cortex,OCD,Wald ratio,1,0.846,1.69E-02,NA,NA,NA,0.014392046
NRDC,Brain Meta Analysis,OCD,Wald ratio,1,1.126,1.69E-02,NA,NA,NA,0.176902273
PCDHB19P,Fetal Brain,OCD,Wald ratio,1,0.017,1.70E-02,NA,NA,NA,0.301126905
PRKCE,Brain Meta Analysis,OCD,Weighted median,5,1.05,1.72E-02,0.773897235,0.574233,0.27334903,0.195897529
EHD3,Fetal Brain,OCD,Wald ratio,1,0.268,1.72E-02,NA,NA,NA,0.176835725
GCH1,Brain Meta Analysis,OCD,Wald ratio,1,0.934,1.73E-02,NA,NA,NA,0.231690806
CDRT1,Fetal Brain,OCD,Wald ratio,1,0.378,1.76E-02,NA,NA,NA,0.171767038
ENSG00000257283,Brain Cortex,OCD,Wald ratio,1,1.282,1.82E-02,NA,NA,NA,0.203432291
NCAPH2,Brain Meta Analysis,OCD,Wald ratio,1,1.169,1.85E-02,NA,NA,NA,0.186205678
RGMA,Brain Meta Analysis,OCD,Wald ratio,1,1.3,1.89E-02,NA,NA,NA,0.162058036
ENSG00000285082,Brain Cortex,OCD,Wald ratio,1,0.876,1.90E-02,NA,NA,NA,0.228483773
FOXO1,Fetal Brain,OCD,Wald ratio,1,0.001,1.91E-02,NA,NA,NA,0.169858027
CAMK2D,Brain Cortex,OCD,Wald ratio,1,1.855,1.92E-02,NA,NA,NA,0.033972027
ADARB2,Brain Cortex,OCD,Wald ratio,1,1.251,1.92E-02,NA,NA,NA,0.017894966
FAT3,Fetal Brain,OCD,Wald ratio,1,0.305,1.92E-02,NA,NA,NA,0.159316325
MIER1,Brain Meta Analysis,OCD,Wald ratio,1,1.121,1.93E-02,NA,NA,NA,0.177554644
NINJ2,Brain Meta Analysis,OCD,Wald ratio,1,0.943,1.96E-02,NA,NA,NA,0.181333615
ZFPM2,Brain Meta Analysis,OCD,Wald ratio,1,1.227,1.98E-02,NA,NA,NA,0.163869534
KLHL5,Brain Cortex,OCD,Wald ratio,1,0.819,2.00E-02,NA,NA,NA,0.051875438
SLC25A21,Brain Meta Analysis,OCD,Wald ratio,1,0.888,2.01E-02,NA,NA,NA,0.1601968
ERC2,Brain Meta Analysis,OCD,Inverse variance weighted,3,1.042,2.02E-02,0.297445528,0.384532614,0.543393237,0.017053734
SDK2,Brain Cortex,OCD,Wald ratio,1,1.28,2.03E-02,NA,NA,NA,0.015921695
CGB1,Fetal Brain,OCD,Wald ratio,1,0.052,2.03E-02,NA,NA,NA,0.25499768
MIER1,Fetal Brain,OCD,Wald ratio,1,8.407,2.08E-02,NA,NA,NA,0.168907853
ABR,Brain Cortex,OCD,Wald ratio,1,0.901,2.09E-02,NA,NA,NA,0.022911394
