"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"FAM82B","Lymphocyte","SCZ","Wald ratio",1,0.162,0.467,1.176,0.728,NA,NA,NA,0.005170862
"VCAN","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.019,0.993,0.728,NA,NA,NA,0.004856462
"SSPN","Lymphocyte","SCZ","Wald ratio",1,-0.006,0.018,0.994,0.729,NA,NA,NA,0.005012937
"ST3GAL1","Lymphocyte","SCZ","Weighted mode",3,0.006,0.016,1.006,0.729,0.461217437,0.381857597,0.44867729,0.005428881
"MYT1L","Lymphocyte","SCZ","Weighted median",5,-0.003,0.008,0.997,0.73,0.282865795,3.78e-05,0.025516736,0.998521529
"DEFA5","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.011,0.996,0.73,NA,NA,NA,0.00474785
"MSI2","Lymphocyte","SCZ","MR Egger",3,0.024,0.054,1.025,0.73,0.687588011,0.837631349,0.736696207,0.005565644
"CRMP1","Lymphocyte","SCZ","Wald ratio",1,-0.006,0.017,0.994,0.731,NA,NA,NA,0.004589604
"HRNBP3","Lymphocyte","SCZ","Weighted mode",3,0.004,0.01,1.004,0.731,0.691962783,0.687622315,0.582481175,0.004975114
"BTBD7","Lymphocyte","SCZ","Wald ratio",1,0.012,0.034,1.012,0.732,NA,NA,NA,0.007812981
"POLR2B","Lymphocyte","SCZ","Wald ratio",1,-0.004,0.013,0.996,0.733,NA,NA,NA,0.006535351
"RUNX2","Lymphocyte","SCZ","Inverse variance weighted",2,-0.012,0.035,0.988,0.733,NA,0.363686355,NA,0.006637796
"NRG1","Lymphocyte","SCZ","Wald ratio",1,0.005,0.016,1.005,0.734,NA,NA,NA,0.004635827
"MEA1","Lymphocyte","SCZ","Wald ratio",1,0.148,0.435,1.16,0.734,NA,NA,NA,0.010884954
"PTK7","Lymphocyte","SCZ","Wald ratio",1,0.008,0.023,1.008,0.734,NA,NA,NA,0.010884955
"STX2","Lymphocyte","SCZ","Inverse variance weighted",2,-0.004,0.011,0.996,0.734,NA,0.880239139,NA,0.004112501
"KIAA1026","Lymphocyte","SCZ","Weighted mode",3,-0.003,0.008,0.997,0.734,0.16119085,0.101191552,0.454304671,0.007435678
"OR6M1","Lymphocyte","SCZ","Wald ratio",1,-0.005,0.014,0.995,0.734,NA,NA,NA,0.005417817
"TRIM59","Lymphocyte","SCZ","Wald ratio",1,-0.013,0.038,0.987,0.735,NA,NA,NA,0.005886082
"PDE6B","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.02,0.993,0.735,NA,NA,NA,0.006664695
"PTPRJ","Lymphocyte","SCZ","Wald ratio",1,0.01,0.028,1.01,0.735,NA,NA,NA,0.010777565
"TULP2","Lymphocyte","SCZ","Wald ratio",1,-0.007,0.022,0.993,0.735,NA,NA,NA,0.006975475
