"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CLPTM1L","Stem-cell-iPSC","ASD","Wald ratio",1,-0.018,0.04,0.982,0.656,NA,NA,NA,7.83e-06
"PRKG1","Stem-cell-iPSC","ASD","MR Egger",3,-0.128,0.213,0.88,0.656,0.029706367,0.042524726,0.665469078,2.13e-05
"TMEM108","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.019,0.991,0.657,NA,NA,NA,3.47e-05
"LPAR3","Stem-cell-iPSC","ASD","Wald ratio",1,0.009,0.02,1.009,0.657,NA,NA,NA,0.000391582
"NRXN1","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.011,0.024,0.989,0.658,NA,0.235876262,NA,0.000189752
"RNU6-1012P","Stem-cell-iPSC","ASD","Wald ratio",1,0.007,0.016,1.007,0.658,NA,NA,NA,0.000660529
"LCP1","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.019,1.009,0.658,NA,NA,NA,4.38e-06
"FRMD3","Stem-cell-iPSC","ASD","Wald ratio",1,-0.045,0.103,0.956,0.659,NA,NA,NA,0.010094099
"SPTSSB","Stem-cell-iPSC","ASD","Wald ratio",1,-0.073,0.166,0.93,0.66,NA,NA,NA,0.013818066
"YBX1P6","Stem-cell-iPSC","ASD","Wald ratio",1,0.029,0.067,1.03,0.66,NA,NA,NA,0.003510856
"PRR18","Stem-cell-iPSC","ASD","Wald ratio",1,-0.023,0.052,0.978,0.66,NA,NA,NA,0.006878463
"CDKAL1","Stem-cell-iPSC","ASD","Wald ratio",1,0.025,0.057,1.025,0.661,NA,NA,NA,3.26e-05
"SPIRE2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.015,0.035,0.985,0.661,NA,NA,NA,1.7e-05
"INADL","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.019,1.008,0.662,NA,NA,NA,0.00090083
"PALM2","Stem-cell-iPSC","ASD","Wald ratio",1,0.012,0.027,1.012,0.662,NA,NA,NA,0.010108706
"CPXM2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.019,0.044,0.981,0.662,NA,NA,NA,7.89e-05
"CDK14","Stem-cell-iPSC","ASD","Inverse variance weighted",3,0.008,0.018,1.008,0.663,0.588422666,0.73918905,0.675885369,0.000403487
"UCK2","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.019,0.042,0.982,0.663,NA,0.295257459,NA,0.011284465
"GLRA1","Stem-cell-iPSC","ASD","Wald ratio",1,0.01,0.022,1.01,0.663,NA,NA,NA,1.31e-05
"ALPK1","Stem-cell-iPSC","ASD","Wald ratio",1,0.011,0.025,1.011,0.664,NA,NA,NA,6.14e-06
"PDE4B","Stem-cell-iPSC","ASD","Wald ratio",1,-0.017,0.039,0.983,0.664,NA,NA,NA,2.03e-05
"SATB2","Stem-cell-iPSC","ASD","Wald ratio",1,0.021,0.049,1.021,0.664,NA,NA,NA,0.005422118
"LRRFIP1","Stem-cell-iPSC","ASD","Wald ratio",1,0.01,0.024,1.01,0.665,NA,NA,NA,0.000151414
"EGLN3","Stem-cell-iPSC","ASD","Wald ratio",1,0.016,0.037,1.016,0.665,NA,NA,NA,1.02e-05
"MAN1A1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.01,0.023,0.99,0.668,NA,NA,NA,2.66e-05
"RPL4P5","Stem-cell-iPSC","ASD","Wald ratio",1,0.009,0.021,1.009,0.668,NA,NA,NA,3.26e-05
"PCA3","Stem-cell-iPSC","ASD","Wald ratio",1,0.008,0.02,1.008,0.669,NA,NA,NA,0.000302129
"EXT1","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.024,0.056,0.977,0.671,NA,0.006163165,NA,6.76e-05
"VSX1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.021,0.991,0.671,NA,NA,NA,0.006838695
"SNRPEP8","Stem-cell-iPSC","ASD","Wald ratio",1,0.019,0.044,1.019,0.671,NA,NA,NA,0.000503151
"HNRNPLP1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.02,0.046,0.981,0.671,NA,NA,NA,0.000133831
"FAM216B","Stem-cell-iPSC","ASD","Wald ratio",1,0.02,0.048,1.02,0.671,NA,NA,NA,0.007525008
"GALNTL5","Stem-cell-iPSC","ASD","Wald ratio",1,0.034,0.08,1.034,0.672,NA,NA,NA,6.11e-05
"MIR4704","Stem-cell-iPSC","ASD","Wald ratio",1,-0.042,0.098,0.959,0.672,NA,NA,NA,0.01089793
"GYG1P2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.012,0.029,0.988,0.673,NA,NA,NA,7.58e-06
"PAK1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.017,0.041,0.983,0.673,NA,NA,NA,1.8e-05
"SMAD3","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.035,0.083,0.966,0.673,NA,0.066961153,NA,0.008232435
"PKN2-AS1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.017,0.041,0.983,0.674,NA,NA,NA,0.000784191
"FKBP1C","Stem-cell-iPSC","ASD","Wald ratio",1,-0.019,0.045,0.981,0.674,NA,NA,NA,0.001588447
"CCDC6","Stem-cell-iPSC","ASD","Wald ratio",1,-0.016,0.039,0.984,0.675,NA,NA,NA,0.000568178
"SUMO1P2","Stem-cell-iPSC","ASD","Wald ratio",1,0.016,0.038,1.016,0.677,NA,NA,NA,1.92e-05
"LINC01591","Stem-cell-iPSC","ASD","Wald ratio",1,0.019,0.047,1.02,0.677,NA,NA,NA,0.000567485
"LINC00540","Stem-cell-iPSC","ASD","MR Egger",3,-0.031,0.056,0.969,0.677,0.244766452,0.322211112,0.562337522,2.52e-06
"KDR","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.01,0.024,0.99,0.677,NA,0.465875442,NA,0.007234861
"MIR572","Stem-cell-iPSC","ASD","Wald ratio",1,-0.016,0.037,0.985,0.678,NA,NA,NA,1.53e-05
"KLF12","Stem-cell-iPSC","ASD","Wald ratio",1,-0.018,0.043,0.982,0.68,NA,NA,NA,0.008964935
"TMEM44","Stem-cell-iPSC","ASD","Wald ratio",1,-0.02,0.049,0.98,0.68,NA,NA,NA,0.002331085
"KCNK2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.021,0.991,0.681,NA,NA,NA,0.009128075
"PPP1R13L","Stem-cell-iPSC","ASD","Wald ratio",1,-0.037,0.09,0.964,0.681,NA,NA,NA,0.000655201
"SPOCK2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.024,0.06,0.976,0.684,NA,NA,NA,0.007511975
"RPS14P7","Stem-cell-iPSC","ASD","Wald ratio",1,0.017,0.041,1.017,0.684,NA,NA,NA,1.34e-05
"LINC00485","Stem-cell-iPSC","ASD","Wald ratio",1,-0.032,0.078,0.969,0.685,NA,NA,NA,0.000122316
"KCNH1","Stem-cell-iPSC","ASD","Wald ratio",1,0.009,0.021,1.009,0.685,NA,NA,NA,1.39e-05
"LINC00520","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.023,0.991,0.686,NA,NA,NA,3.65e-06
"KSR2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.009,0.023,0.991,0.686,NA,NA,NA,1.84e-06
