"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"C10orf25","Lymphocyte","SCZ","Wald ratio",1," 0.008","0.013","  1.008","5.39e-01",NA,NA,NA,0.005754301
"RASSF4","Lymphocyte","SCZ","Wald ratio",1," 0.078","0.126","  1.081","5.39e-01",NA,NA,NA,0.005754301
"KBTBD2","Lymphocyte","SCZ","Wald ratio",1,"-0.235","0.383","  0.791","5.39e-01",NA,NA,NA,0.005277631
"PPFIA2","Lymphocyte","SCZ","Wald ratio",1," 0.029","0.047","  1.029","5.39e-01",NA,NA,NA,0.006049797
"HECA","Lymphocyte","SCZ","Wald ratio",1,"-0.011","0.018","  0.989","5.39e-01",NA,NA,NA,0.007114578
"SP4","Lymphocyte","SCZ","Wald ratio",1," 0.014","0.023","  1.014","5.40e-01",NA,NA,NA,0.005274801
"SH3BP5","Lymphocyte","SCZ","Wald ratio",1,"-0.021","0.035","  0.979","5.40e-01",NA,NA,NA,0.007692153
"MYH11","Lymphocyte","SCZ","Inverse variance weighted",2," 0.005","0.008","  1.005","5.40e-01",NA,0.255569225,NA,0.005389956
"KANK4","Lymphocyte","SCZ","Wald ratio",1,"-0.027","0.044","  0.974","5.41e-01",NA,NA,NA,0.005388895
"SLC12A3","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.009","  1.006","5.42e-01",NA,NA,NA,0.005204399
"MIR138-2","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.42e-01",NA,NA,NA,0.005204399
"CPAMD8","Lymphocyte","SCZ","Wald ratio",1," 0.123","0.202","  1.131","5.42e-01",NA,NA,NA,0.005202481
"F2RL3","Lymphocyte","SCZ","Wald ratio",1," 0.024","0.040","  1.025","5.42e-01",NA,NA,NA,0.005204339
"OLFML2A","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.013","  0.992","5.42e-01",NA,NA,NA,0.005204399
"RIMBP2","Lymphocyte","SCZ","Inverse variance weighted",2," 0.005","0.008","  1.005","5.42e-01",NA,0.252188711,NA,0.004287544
"PHLDB3","Lymphocyte","SCZ","Wald ratio",1,"-0.011","0.018","  0.989","5.42e-01",NA,NA,NA,0.006564793
"KCNA10","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.43e-01",NA,NA,NA,0.005201473
"GSTA2","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.43e-01",NA,NA,NA,0.005201473
"PPARGC1A","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.44e-01",NA,NA,NA,0.00560929
"SGPP2","Lymphocyte","SCZ","Wald ratio",1,"-0.023","0.038","  0.978","5.44e-01",NA,NA,NA,0.005903633
"EBF2","Lymphocyte","SCZ","Wald ratio",1," 0.032","0.052","  1.032","5.44e-01",NA,NA,NA,0.005903633
"LRAT","Lymphocyte","SCZ","Wald ratio",1," 0.027","0.044","  1.027","5.44e-01",NA,NA,NA,0.005312067
"DPPA2","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.44e-01",NA,NA,NA,0.005312067
"GSDMC","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.45e-01",NA,NA,NA,0.00508213
"GLP1R","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.009","  1.006","5.45e-01",NA,NA,NA,0.005130783
"DUSP27","Lymphocyte","SCZ","Wald ratio",1," 0.011","0.018","  1.011","5.45e-01",NA,NA,NA,0.005426065
"SLC25A37","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.012","  0.993","5.46e-01",NA,NA,NA,0.005422727
"ZNF438","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.011","  0.993","5.47e-01",NA,NA,NA,0.005830344
"ZNF264","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.47e-01",NA,NA,NA,0.006712515
"XIRP2","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.48e-01",NA,NA,NA,0.006234569
"TAPT1","Lymphocyte","SCZ","Wald ratio",1," 0.010","0.017","  1.010","5.49e-01",NA,NA,NA,0.005349662
"ATHL1","Lymphocyte","SCZ","Wald ratio",1,"-0.009","0.016","  0.991","5.50e-01",NA,NA,NA,0.006051537
"IFITM5","Lymphocyte","SCZ","Wald ratio",1,"-0.012","0.019","  0.989","5.50e-01",NA,NA,NA,0.006051536
"BET1L","Lymphocyte","SCZ","Wald ratio",1,"-0.359","0.600","  0.698","5.50e-01",NA,NA,NA,0.006051536
"GINS3","Lymphocyte","SCZ","Wald ratio",1," 0.272","0.454","  1.312","5.50e-01",NA,NA,NA,0.009375963
"LIMD1","Lymphocyte","SCZ","Wald ratio",1,"-0.018","0.030","  0.982","5.50e-01",NA,NA,NA,0.005165984
"CACNA1C","Lymphocyte","SCZ","Weighted median",4,"-0.008","0.013","  0.992","5.50e-01",4.21e-08,1.24e-15,0.270912523,0.016352441
"CYB5D2","Lymphocyte","SCZ","Wald ratio",1,"-0.163","0.272","  0.850","5.51e-01",NA,NA,NA,0.006455894
"FAM38A","Lymphocyte","SCZ","Wald ratio",1," 0.038","0.064","  1.039","5.51e-01",NA,NA,NA,0.005574506
"RNF166","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.51e-01",NA,NA,NA,0.005574505
"ISG20","Lymphocyte","SCZ","Wald ratio",1," 0.013","0.022","  1.013","5.52e-01",NA,NA,NA,0.007150927
"PF4","Lymphocyte","SCZ","Wald ratio",1," 0.009","0.015","  1.009","5.52e-01",NA,NA,NA,0.008140303
"NSMCE1","Lymphocyte","SCZ","Wald ratio",1,"-0.014","0.024","  0.986","5.53e-01",NA,NA,NA,0.005390768
"MYO7A","Lymphocyte","SCZ","Inverse variance weighted",2," 0.005","0.008","  1.005","5.53e-01",NA,0.282938148,NA,0.005831767
"UNC5C","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.011","0.019","  0.989","5.53e-01",NA,0.036618644,NA,0.005654903
"CAMTA1","Lymphocyte","SCZ","MR Egger",3," 0.138","0.163","  1.148","5.53e-01",0.638046367,0.61718423,0.54692153,0.004404706
"KIAA1430","Lymphocyte","SCZ","Wald ratio",1,"-0.005","0.009","  0.995","5.53e-01",NA,NA,NA,0.005387573
"SOSTDC1","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.009","  1.006","5.53e-01",NA,NA,NA,0.005387573
"RAB19","Lymphocyte","SCZ","Wald ratio",1," 0.010","0.016","  1.010","5.54e-01",NA,NA,NA,0.007373562
"SERPINF2","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.010","0.016","  0.991","5.54e-01",NA,0.916299485,NA,0.004969779
"NCF4","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.54e-01",NA,NA,NA,0.005501797
"PVALB","Lymphocyte","SCZ","Wald ratio",1," 0.012","0.020","  1.012","5.54e-01",NA,NA,NA,0.005496158
"FREM2","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.54e-01",NA,NA,NA,0.005501797
"CSF2RB","Lymphocyte","SCZ","Wald ratio",1," 0.043","0.073","  1.044","5.54e-01",NA,NA,NA,0.005501796
"ATP8B1","Lymphocyte","SCZ","Wald ratio",1," 0.017","0.029","  1.017","5.54e-01",NA,NA,NA,0.009919053
"BCR","Lymphocyte","SCZ","Wald ratio",1,"-0.011","0.018","  0.989","5.54e-01",NA,NA,NA,0.00579356
"RASSF3","Lymphocyte","SCZ","Wald ratio",1,"-0.099","0.167","  0.906","5.54e-01",NA,NA,NA,0.008356796
"ZNF507","Lymphocyte","SCZ","Wald ratio",1,"-0.085","0.143","  0.919","5.55e-01",NA,NA,NA,0.005498412
"RFC1","Lymphocyte","SCZ","Wald ratio",1,"-0.117","0.198","  0.890","5.55e-01",NA,NA,NA,0.005495407
"HS6ST1","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.55e-01",NA,NA,NA,0.005204029
"SIK1","Lymphocyte","SCZ","Wald ratio",1," 0.065","0.110","  1.067","5.55e-01",NA,NA,NA,0.009158167
"IRF1","Lymphocyte","SCZ","Wald ratio",1,"-0.010","0.017","  0.990","5.57e-01",NA,NA,NA,0.005428933
"U2AF1","Lymphocyte","SCZ","Wald ratio",1," 0.592","1.008","  1.808","5.57e-01",NA,NA,NA,0.007119514
"CHST2","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.58e-01",NA,NA,NA,0.005133462
"SNRPN","Lymphocyte","SCZ","Wald ratio",1," 0.010","0.018","  1.010","5.58e-01",NA,NA,NA,0.005133462
"FOXD2","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.011","  0.993","5.58e-01",NA,NA,NA,0.004972269
"EGR2","Lymphocyte","SCZ","Wald ratio",1," 0.024","0.040","  1.024","5.58e-01",NA,NA,NA,0.005131399
"DDTL","Lymphocyte","SCZ","Wald ratio",1,"-0.005","0.009","  0.995","5.58e-01",NA,NA,NA,0.005131399
"DDT","Lymphocyte","SCZ","Wald ratio",1,"-0.005","0.009","  0.995","5.58e-01",NA,NA,NA,0.005131399
"LOC391322","Lymphocyte","SCZ","Wald ratio",1,"-0.283","0.483","  0.753","5.58e-01",NA,NA,NA,0.005131399
"GSTTP1","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.58e-01",NA,NA,NA,0.005131399
"ALPPL2","Lymphocyte","SCZ","Wald ratio",1," 0.008","0.014","  1.008","5.59e-01",NA,NA,NA,0.006641438
"HEATR3","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.014","  0.992","5.59e-01",NA,NA,NA,0.005650844
"PLEKHH2","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.60e-01",NA,NA,NA,0.007157687
"VGLL3","Lymphocyte","SCZ","Wald ratio",1,"-0.009","0.015","  0.991","5.61e-01",NA,NA,NA,0.005761629
"RFX8","Lymphocyte","SCZ","Wald ratio",1,"-0.098","0.169","  0.907","5.61e-01",NA,NA,NA,0.005353346
"STARD4","Lymphocyte","SCZ","Wald ratio",1,"-0.338","0.581","  0.713","5.61e-01",NA,NA,NA,0.007154449
"PRR15","Lymphocyte","SCZ","Wald ratio",1,"-0.010","0.016","  0.991","5.61e-01",NA,NA,NA,0.006864185
"BCAR1","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.012","  0.993","5.61e-01",NA,NA,NA,0.005451372
"APBA2","Lymphocyte","SCZ","Inverse variance weighted",2," 0.007","0.012","  1.007","5.61e-01",NA,0.598378876,NA,0.008831436
"LSAMP","Lymphocyte","SCZ","Weighted mode",4," 0.010","0.015","  1.010","5.61e-01",0.298708866,0.268638452,0.378888371,0.010162297
"RBP4","Lymphocyte","SCZ","Wald ratio",1," 0.011","0.018","  1.011","5.62e-01",NA,NA,NA,0.009451669
"SORCS2","Lymphocyte","SCZ","Weighted median",4," 0.006","0.010","  1.006","5.62e-01",0.017135265,0.04275968,0.939575233,0.005640226
"TMEM97","Lymphocyte","SCZ","Wald ratio",1,"-0.011","0.020","  0.989","5.62e-01",NA,NA,NA,0.005169977
"CD83","Lymphocyte","SCZ","Wald ratio",1," 0.032","0.055","  1.032","5.63e-01",NA,NA,NA,0.005689427
"ZNF57","Lymphocyte","SCZ","Wald ratio",1,"-0.142","0.245","  0.868","5.64e-01",NA,NA,NA,0.007597858
"SSH1","Lymphocyte","SCZ","Wald ratio",1,"-0.024","0.042","  0.976","5.64e-01",NA,NA,NA,0.005686526
"SSH1","Lymphocyte","SCZ","Wald ratio",1,"-0.006","0.010","  0.994","5.64e-01",NA,NA,NA,0.005546553
"MYT1L","Lymphocyte","SCZ","Inverse variance weighted",5,"-0.009","0.016","  0.991","5.65e-01",0.282865795,3.78e-05,0.025516736,0.998521529
"SERPINI1","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.014","  0.992","5.65e-01",NA,NA,NA,0.005797761
"SEMA5B","Lymphocyte","SCZ","Wald ratio",1,"-0.014","0.025","  0.986","5.65e-01",NA,NA,NA,0.007013413
"CD6","Lymphocyte","SCZ","Wald ratio",1,"-0.013","0.023","  0.987","5.65e-01",NA,NA,NA,0.005506121
"BARD1","Lymphocyte","SCZ","Wald ratio",1,"-0.015","0.027","  0.985","5.66e-01",NA,NA,NA,0.0098177
"SMPDL3A","Lymphocyte","SCZ","Wald ratio",1," 0.011","0.020","  1.011","5.66e-01",NA,NA,NA,0.005617343
"TLE2","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.013","  1.007","5.67e-01",NA,NA,NA,0.005614101
"ERN1","Lymphocyte","SCZ","Wald ratio",1,"-0.007","0.013","  0.993","5.68e-01",NA,NA,NA,0.006941347
"PPM1F","Lymphocyte","SCZ","Wald ratio",1," 0.031","0.055","  1.032","5.68e-01",NA,NA,NA,0.008147171
"CYP1B1","Lymphocyte","SCZ","Wald ratio",1," 0.009","0.015","  1.009","5.68e-01",NA,NA,NA,0.006939289
"LMO3","Lymphocyte","SCZ","Wald ratio",1," 0.012","0.020","  1.012","5.68e-01",NA,NA,NA,0.00583917
"C18orf34","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.013","  0.992","5.69e-01",NA,NA,NA,0.006243343
"ADAMTS16","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.006","0.011","  0.994","5.69e-01",NA,0.186311977,NA,0.004282253
"ADAP1","Lymphocyte","SCZ","Wald ratio",1," 0.006","0.010","  1.006","5.69e-01",NA,NA,NA,0.00502689
"COX19","Lymphocyte","SCZ","Wald ratio",1," 0.007","0.012","  1.007","5.69e-01",NA,NA,NA,0.00499896
"CYP2W1","Lymphocyte","SCZ","Wald ratio",1," 0.005","0.009","  1.005","5.69e-01",NA,NA,NA,0.005026891
"IL1F7","Lymphocyte","SCZ","Wald ratio",1,"-0.005","0.009","  0.995","5.69e-01",NA,NA,NA,0.004728224
"ENOX1","Lymphocyte","SCZ","Wald ratio",1,"-0.016","0.029","  0.984","5.69e-01",NA,NA,NA,0.007049631
"TIFAB","Lymphocyte","SCZ","Wald ratio",1," 0.019","0.034","  1.019","5.69e-01",NA,NA,NA,0.005025565
"FAM49A","Lymphocyte","SCZ","MR Egger",3,"-0.015","0.018","  0.986","5.69e-01",0.561282373,0.593626222,0.55523665,0.004591346
"FBXO39","Lymphocyte","SCZ","Wald ratio",1," 0.005","0.009","  1.005","5.70e-01",NA,NA,NA,0.005138441
"NDST1","Lymphocyte","SCZ","Wald ratio",1,"-0.005","0.010","  0.995","5.70e-01",NA,NA,NA,0.005134116
"SLC5A8","Lymphocyte","SCZ","Wald ratio",1,"-0.008","0.014","  0.992","5.71e-01",NA,NA,NA,0.006056164
"ZNF555","Lymphocyte","SCZ","Wald ratio",1,"-0.019","0.034","  0.981","5.71e-01",NA,NA,NA,0.006978203
