"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"VWA8","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.017","0.016","1.017","2.96e-01",NA,NA,NA,0.013359542
"PWP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.039","0.038","0.962","2.97e-01",NA,NA,NA,0.001572704
"NUP50","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.037","0.036","0.964","3.02e-01",NA,NA,NA,0.004602199
"TRAPPC4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.041","0.040","1.042","3.04e-01",NA,NA,NA,0.000363559
"THEM4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.025","0.025","1.026","3.05e-01",NA,NA,NA,0.001020564
"NARS2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.030","0.029","0.971","3.06e-01",NA,NA,NA,0.009059911
"GNAQ","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.043","0.042","0.958","3.10e-01",NA,NA,NA,0.008066064
"TIMELESS","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.048","0.047","1.049","3.11e-01",NA,NA,NA,0.000586184
"RAB33B","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.028","0.027","0.973","3.12e-01",NA,NA,NA,0.013647353
"ATG16L1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.027","0.027","0.973","3.14e-01",NA,NA,NA,0.008692967
"ZNRF1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.043","0.042","0.958","3.14e-01",NA,NA,NA,0.000427177
"MTAP","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.063","0.063","1.065","3.14e-01",NA,NA,NA,0.004155328
"CHTF18","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.018","0.018","0.982","3.17e-01",NA,NA,NA,0.01474146
"PPIL3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.014","0.014","0.986","3.20e-01",NA,NA,NA,0.014271
"PSMB7","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.055","0.055","0.947","3.20e-01",NA,NA,NA,0.030456918
"NT5DC3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.026","0.026","0.974","3.21e-01",NA,NA,NA,0.000586783
"CHMP1A","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.032","0.033","1.033","3.24e-01",NA,NA,NA,0.002996947
"RMDN1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.018","0.018","0.982","3.29e-01",NA,NA,NA,0.013571029
"EOGT","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.025","0.025","0.976","3.29e-01",NA,NA,NA,0.008278587
"LTA4H","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.064","0.066","0.938","3.33e-01",NA,NA,NA,0.003743013
"GSS","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.026","0.027","1.026","3.34e-01",NA,NA,NA,0.01184327
"MALT1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.052","0.054","0.949","3.34e-01",NA,NA,NA,0.000192819
"GSDMD","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.024","0.025","0.976","3.36e-01",NA,NA,NA,0.014596194
"TAMM41","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.021","0.022","0.979","3.44e-01",NA,NA,NA,0.011543087
"CRABP2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.052","0.056","0.950","3.55e-01",NA,NA,NA,0.003390237
"AK3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.024","0.026","0.976","3.56e-01",NA,NA,NA,0.015367213
"CPT2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.024","0.026","0.976","3.57e-01",NA,NA,NA,0.013097624
"NUF2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.040","0.044","1.041","3.59e-01",NA,NA,NA,0.007386307
"IAH1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.021","0.022","1.021","3.59e-01",NA,NA,NA,0.013305361
"LCLAT1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.034","0.037","1.034","3.62e-01",NA,NA,NA,0.001907675
"NMRAL1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.021","0.023","0.979","3.62e-01",NA,NA,NA,0.016492152
"CNN2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.054","0.059","0.948","3.63e-01",NA,NA,NA,0.010598449
"SCG3","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.023","0.026","0.977","3.67e-01",NA,NA,NA,3.19e-05
"UQCR10","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.038","0.042","1.038","3.68e-01",NA,NA,NA,0.022705434
"IMPA2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.054","0.061","0.947","3.73e-01",NA,NA,NA,0.001139048
"ESD","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.041","0.046","1.042","3.76e-01",NA,NA,NA,0.006837043
"SCRN2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.025","0.028","1.025","3.82e-01",NA,NA,NA,0.010671583
"QTRTD1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.032","0.037","0.969","3.87e-01",NA,NA,NA,0.001065696
