"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ITM2C","Stem-cell-iPSC","SCZ","Wald ratio",1,0.018,0.024,1.018,0.441,NA,NA,NA,0.000521336
"PNMAL1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.014,0.018,0.986,0.442,NA,NA,NA,0.006166668
"CHCHD2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.01,0.014,1.01,0.446,NA,NA,NA,0.001850228
"FHL3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.019,1.015,0.448,NA,NA,NA,0.005820302
"GATM","Stem-cell-iPSC","SCZ","Wald ratio",1,0.014,0.019,1.014,0.453,NA,NA,NA,0.000949655
"IQGAP3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.009,0.012,1.009,0.454,NA,NA,NA,0.005873924
"MALT1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.024,0.032,0.976,0.455,NA,NA,NA,9.45e-05
"EOGT","Stem-cell-iPSC","SCZ","Wald ratio",1,0.011,0.015,1.011,0.457,NA,NA,NA,0.003969713
"HRSP12","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.021,0.029,0.979,0.458,NA,NA,NA,0.002153607
"GFPT2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.014,0.019,0.986,0.461,NA,NA,NA,0.005672249
"CENPV","Stem-cell-iPSC","SCZ","Wald ratio",1,0.006,0.008,1.006,0.462,NA,NA,NA,0.005660861
"PSMB7","Stem-cell-iPSC","SCZ","Wald ratio",1,0.021,0.029,1.022,0.465,NA,NA,NA,0.013630945
"DYSF","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.018,1.013,0.468,NA,NA,NA,0.004329169
"POGLUT1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.01,0.014,1.01,0.471,NA,NA,NA,0.005536188
"LRWD1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.013,0.018,1.013,0.473,NA,NA,NA,0.003227768
"WWC2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.015,0.021,1.015,0.473,NA,NA,NA,0.00040334
"TMEM87B","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.016,0.022,0.984,0.474,NA,NA,NA,0.000407725
"DHRS7","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.02,0.028,0.98,0.477,NA,NA,NA,5.55e-05
"ACSF3","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.014,0.02,0.986,0.479,NA,NA,NA,0.002605916
"TRIM68","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.013,0.018,0.987,0.48,NA,NA,NA,5.73e-05
"LEPREL2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.009,0.013,0.991,0.484,NA,NA,NA,5.37e-05
