"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"PTK7","Lymphocyte","ADHD","Wald ratio",1,0.014,0.011,1.015,0.175,NA,NA,NA,3.31e-06
"LPIN2","Lymphocyte","ADHD","Wald ratio",1,0.016,0.012,1.017,0.177,NA,NA,NA,0.010972696
"TMEM50B","Lymphocyte","ADHD","Wald ratio",1,0.02,0.015,1.021,0.179,NA,NA,NA,0.000978541
"KLC1","Lymphocyte","ADHD","Wald ratio",1,0.015,0.011,1.015,0.179,NA,NA,NA,0.012374208
"DEAF1","Lymphocyte","ADHD","Wald ratio",1,0.015,0.011,1.015,0.18,NA,NA,NA,0.012066976
"TTC39B","Lymphocyte","ADHD","Wald ratio",1,-0.012,0.009,0.989,0.181,NA,NA,NA,0.01147557
"FRMD4A","Lymphocyte","ADHD","Wald ratio",1,0.013,0.01,1.013,0.184,NA,NA,NA,3.53e-05
"WDR91","Lymphocyte","ADHD","Wald ratio",1,-0.024,0.018,0.976,0.187,NA,NA,NA,0.012115957
"SLC12A8","Lymphocyte","ADHD","Wald ratio",1,-0.02,0.016,0.98,0.193,NA,NA,NA,0.016210409
"BCL2L14","Lymphocyte","ADHD","Wald ratio",1,0.023,0.018,1.023,0.2,NA,NA,NA,0.001874235
"CREB3L2","Lymphocyte","ADHD","Wald ratio",1,-0.019,0.015,0.981,0.202,NA,NA,NA,0.001675178
"PTGIR","Lymphocyte","ADHD","Wald ratio",1,0.026,0.021,1.027,0.206,NA,NA,NA,0.010763418
"RP11-42I10.1","Lymphocyte","ADHD","Wald ratio",1,-0.016,0.012,0.985,0.206,NA,NA,NA,0.000368111
"SPTBN1","Lymphocyte","ADHD","Wald ratio",1,0.025,0.02,1.025,0.208,NA,NA,NA,0.011744183
"TRAF3IP2","Lymphocyte","ADHD","Wald ratio",1,-0.012,0.01,0.988,0.21,NA,NA,NA,0.000101281
"SPG20","Lymphocyte","ADHD","Wald ratio",1,0.014,0.011,1.014,0.211,NA,NA,NA,0.000158906
"BCAS1","Lymphocyte","ADHD","Wald ratio",1,0.026,0.021,1.027,0.212,NA,NA,NA,0.010413448
"DENND4B","Lymphocyte","ADHD","Wald ratio",1,-0.005,0.004,0.995,0.216,NA,NA,NA,0.009857345
"ICA1","Lymphocyte","ADHD","Wald ratio",1,-0.014,0.011,0.987,0.218,NA,NA,NA,0.012611665
"GPR146","Lymphocyte","ADHD","Wald ratio",1,0.035,0.029,1.036,0.221,NA,NA,NA,0.01340856
"EP400","Lymphocyte","ADHD","Wald ratio",1,-0.028,0.023,0.972,0.223,NA,NA,NA,0.01271415
"DSC2","Lymphocyte","ADHD","Wald ratio",1,0.015,0.013,1.015,0.225,NA,NA,NA,0.002894867
"OXNAD1","Lymphocyte","ADHD","Wald ratio",1,0.006,0.005,1.006,0.229,NA,NA,NA,0.000199995
"IGHV1-69","Lymphocyte","ADHD","Wald ratio",1,-0.012,0.01,0.988,0.231,NA,NA,NA,4.66e-05
"DTD1","Lymphocyte","ADHD","Wald ratio",1,0.014,0.012,1.014,0.231,NA,NA,NA,0.002709164
"RRP12","Lymphocyte","ADHD","Wald ratio",1,0.021,0.018,1.021,0.234,NA,NA,NA,0.009642458
"DOCK8","Lymphocyte","ADHD","Wald ratio",1,0.009,0.008,1.009,0.234,NA,NA,NA,0.000118943
"MAP3K2","Lymphocyte","ADHD","Wald ratio",1,0.015,0.012,1.015,0.236,NA,NA,NA,0.000461896
"PGS1","Lymphocyte","ADHD","Wald ratio",1,-0.044,0.037,0.957,0.236,NA,NA,NA,0.00507778
"EFCAB7","Lymphocyte","ADHD","Wald ratio",1,-0.006,0.005,0.994,0.238,NA,NA,NA,0.000487754
"SNN","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.018,0.979,0.239,NA,NA,NA,0.002679139
"MTHFD1","Lymphocyte","ADHD","Wald ratio",1,0.01,0.008,1.01,0.24,NA,NA,NA,0.00210423
"MICAL2","Lymphocyte","ADHD","Wald ratio",1,0.016,0.014,1.016,0.244,NA,NA,NA,0.009445546
"ADAMTSL3","Lymphocyte","ADHD","Wald ratio",1,0.014,0.012,1.014,0.246,NA,NA,NA,0.000318264
"RHOH","Lymphocyte","ADHD","Wald ratio",1,0.013,0.012,1.013,0.247,NA,NA,NA,0.000723486
"WDR25","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.019,0.979,0.249,NA,NA,NA,0.010059086
"IDI1","Lymphocyte","ADHD","Wald ratio",1,-0.01,0.009,0.99,0.249,NA,NA,NA,0.008826524
"CMC2","Lymphocyte","ADHD","Wald ratio",1,0.033,0.029,1.034,0.249,NA,NA,NA,0.011686126
"NARF","Lymphocyte","ADHD","Wald ratio",1,0.022,0.019,1.022,0.251,NA,NA,NA,0.012163604
"SH3RF3","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.012,0.987,0.257,NA,NA,NA,0.000148697
"TIFA","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.011,0.987,0.258,NA,NA,NA,0.010009049
"PMS2CL","Lymphocyte","ADHD","Wald ratio",1,0.019,0.017,1.019,0.259,NA,NA,NA,0.000748796
"FAM171A1","Lymphocyte","ADHD","Wald ratio",1,-0.012,0.011,0.988,0.261,NA,NA,NA,0.005733735
"RASSF2","Lymphocyte","ADHD","Wald ratio",1,-0.014,0.012,0.987,0.262,NA,NA,NA,0.009091791
"NPLOC4","Lymphocyte","ADHD","Wald ratio",1,0.008,0.007,1.008,0.264,NA,NA,NA,0.004757194
"PDZD2","Lymphocyte","ADHD","Wald ratio",1,-0.007,0.006,0.993,0.266,NA,NA,NA,8.06e-05
"GSK3B","Lymphocyte","ADHD","Wald ratio",1,-0.019,0.017,0.981,0.269,NA,NA,NA,0.001112604
"STK33","Lymphocyte","ADHD","Wald ratio",1,0.011,0.01,1.011,0.27,NA,NA,NA,5.2e-05
"BMP8A","Lymphocyte","ADHD","Wald ratio",1,0.009,0.008,1.009,0.273,NA,NA,NA,9.98e-05
"ADPGK","Lymphocyte","ADHD","Wald ratio",1,-0.008,0.007,0.992,0.274,NA,NA,NA,7.34e-05
"GRAMD4","Lymphocyte","ADHD","Wald ratio",1,0.025,0.023,1.025,0.275,NA,NA,NA,0.003412326
"RP11-44F21.4","Lymphocyte","ADHD","Wald ratio",1,-0.013,0.012,0.987,0.275,NA,NA,NA,3.49e-06
"INPP1","Lymphocyte","ADHD","Wald ratio",1,0.019,0.018,1.02,0.276,NA,NA,NA,0.008951257
"KALRN","Lymphocyte","ADHD","Wald ratio",1,-0.011,0.01,0.989,0.277,NA,NA,NA,0.007636712
"KIFAP3","Lymphocyte","ADHD","Wald ratio",1,-0.017,0.015,0.984,0.278,NA,NA,NA,0.000317444
"SH3PXD2A","Lymphocyte","ADHD","Wald ratio",1,0.015,0.014,1.015,0.278,NA,NA,NA,0.008459456
"SMG1","Lymphocyte","ADHD","Wald ratio",1,0.012,0.011,1.012,0.278,NA,NA,NA,0.002073795
"GSDMD","Lymphocyte","ADHD","Wald ratio",1,-0.012,0.011,0.988,0.279,NA,NA,NA,0.002562892
"RP11-387D10.2","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.021,0.978,0.283,NA,NA,NA,0.001635323
"TMTC4","Lymphocyte","ADHD","Wald ratio",1,0.015,0.014,1.015,0.285,NA,NA,NA,0.008840009
"FAM3C","Lymphocyte","ADHD","Wald ratio",1,0.012,0.012,1.013,0.288,NA,NA,NA,0.00022433
"SNCG","Lymphocyte","ADHD","Wald ratio",1,0.015,0.014,1.015,0.289,NA,NA,NA,0.000660661
"SPERT","Lymphocyte","ADHD","Wald ratio",1,-0.021,0.02,0.98,0.292,NA,NA,NA,0.004522472
"RP11-219G17.4","Lymphocyte","ADHD","Wald ratio",1,-0.018,0.018,0.982,0.295,NA,NA,NA,3.33e-05
"BCAS4","Lymphocyte","ADHD","Wald ratio",1,-0.019,0.018,0.982,0.296,NA,NA,NA,0.00029607
"RIBC2","Lymphocyte","ADHD","Wald ratio",1,0.009,0.009,1.009,0.298,NA,NA,NA,0.001273841
"SRCRB4D","Lymphocyte","ADHD","Wald ratio",1,-0.007,0.007,0.993,0.302,NA,NA,NA,1.02e-05
"C21orf58","Lymphocyte","ADHD","Wald ratio",1,0.009,0.008,1.009,0.303,NA,NA,NA,0.00840789
"ACSF3","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.021,0.978,0.304,NA,NA,NA,0.003076032
"C17orf97","Lymphocyte","ADHD","Wald ratio",1,0.01,0.01,1.01,0.304,NA,NA,NA,0.009291865
"PIGL","Lymphocyte","ADHD","Wald ratio",1,0.01,0.01,1.01,0.307,NA,NA,NA,0.001688355
"GAA","Lymphocyte","ADHD","Wald ratio",1,0.021,0.021,1.022,0.307,NA,NA,NA,3.17e-06
"AC064834.2","Lymphocyte","ADHD","Wald ratio",1,-0.016,0.015,0.984,0.309,NA,NA,NA,0.001570113
"GCC2","Lymphocyte","ADHD","Wald ratio",1,-0.024,0.024,0.977,0.312,NA,NA,NA,0.007758349
"LLGL2","Lymphocyte","ADHD","Wald ratio",1,-0.01,0.01,0.99,0.312,NA,NA,NA,0.007912858
"RP11-282I1.1","Lymphocyte","ADHD","Wald ratio",1,-0.014,0.014,0.986,0.312,NA,NA,NA,0.001088523
"PM20D2","Lymphocyte","ADHD","Wald ratio",1,-0.009,0.009,0.991,0.313,NA,NA,NA,1.94e-05
"BIK","Lymphocyte","ADHD","Wald ratio",1,0.011,0.011,1.011,0.314,NA,NA,NA,0.000481358
"RP5-1198O20.4","Lymphocyte","ADHD","Wald ratio",1,0.012,0.012,1.012,0.314,NA,NA,NA,0.00978326
"KIAA1217","Lymphocyte","ADHD","Wald ratio",1,-0.011,0.011,0.989,0.317,NA,NA,NA,0.007153803
"RSU1","Lymphocyte","ADHD","Wald ratio",1,0.015,0.015,1.015,0.317,NA,NA,NA,0.008236505
"TMPRSS9","Lymphocyte","ADHD","Wald ratio",1,-0.008,0.008,0.992,0.317,NA,NA,NA,7.21e-05
"TLDC1","Lymphocyte","ADHD","Wald ratio",1,0.025,0.025,1.026,0.317,NA,NA,NA,0.008878731
"SYNGR1","Lymphocyte","ADHD","Wald ratio",1,-0.009,0.009,0.991,0.322,NA,NA,NA,0.006828751
"KCNA6","Lymphocyte","ADHD","Wald ratio",1,-0.007,0.007,0.993,0.326,NA,NA,NA,5.85e-06
"UCK2","Lymphocyte","ADHD","Wald ratio",1,-0.01,0.01,0.99,0.328,NA,NA,NA,0.00759178
"MYCBPAP","Lymphocyte","ADHD","Wald ratio",1,0.011,0.012,1.012,0.333,NA,NA,NA,0.003995136
"RP11-434C1.1","Lymphocyte","ADHD","Wald ratio",1,-0.011,0.011,0.989,0.335,NA,NA,NA,0.000271367
