Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,RND2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,1.155
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,ARL4D,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.92
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.9
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,VAT1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.881
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,DHX8,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.846
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.971
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,CCDC200,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.915
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AOC3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,9.62E-05,0.903
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Putamen,Wald ratio,9.62E-05,1.032
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,NBR2,eQTL_Brain Frontal Cortex,Wald ratio,1.00E-04,1.032
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Amygdala,Wald ratio,1.01E-04,0.927
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Anterior cingulate cortex BA24,Wald ratio,1.01E-04,0.926
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Caudate,Wald ratio,1.01E-04,0.956
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PNPLA2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.01E-04,1.184
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.01E-04,0.959
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PIDD1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,1.01E-04,0.938
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,GATD1-DT,eQTL_Brain Cerebellum,Wald ratio,1.01E-04,0.962
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,PIDD1,eQTL_Brain Cerebellum,Wald ratio,1.01E-04,0.947
Attention deficit and hyperactivity disorder,Bulk-tissue biomarker,AP006621.5,eQTL_Brain Cortex SMR,Wald ratio,1.01E-04,1.034
