Psychiatric disorder,Category name,Risk factor,Source,Method,P-value,OR
Schizophrenia,Bulk-tissue biomarker,GNB1-DT,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.61E-04,0.939
Schizophrenia,Bulk-tissue biomarker,ACYP2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.80E-04,0.866
Schizophrenia,Bulk-tissue biomarker,HMGB1P31,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.80E-04,1.046
Schizophrenia,Bulk-tissue biomarker,GSTO2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.91E-04,0.97
Schizophrenia,Bulk-tissue biomarker,COX11,eQTL_Brain Cerebellar Hemisphere,Wald ratio,6.97E-04,1.138
Schizophrenia,Bulk-tissue biomarker,TMEM81,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.14E-04,0.876
Schizophrenia,Bulk-tissue biomarker,RBBP5,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.14E-04,0.864
Schizophrenia,Bulk-tissue biomarker,FAM47E,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.27E-04,1.048
Schizophrenia,Bulk-tissue biomarker,SIPA1L3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.59E-04,1.105
Schizophrenia,Bulk-tissue biomarker,FBXO38,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.73E-04,0.891
Schizophrenia,Bulk-tissue biomarker,ARL14EP,eQTL_Brain Cerebellar Hemisphere,Wald ratio,7.79E-04,0.926
Schizophrenia,Bulk-tissue biomarker,AGBL3,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.13E-04,1.056
Schizophrenia,Bulk-tissue biomarker,GRPEL1,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.27E-04,1.094
Schizophrenia,Bulk-tissue biomarker,ME1,eQTL_Brain Cerebellar Hemisphere,Inverse variance weighted,8.31E-04,0.95
Schizophrenia,Bulk-tissue biomarker,ATP5MC2,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.47E-04,1.057
Schizophrenia,Bulk-tissue biomarker,KRT8P46,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.80E-04,1.071
Schizophrenia,Bulk-tissue biomarker,MANBA,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.80E-04,1.103
Schizophrenia,Bulk-tissue biomarker,LRRC37A15P,eQTL_Brain Cerebellar Hemisphere,Wald ratio,8.80E-04,1.048
Schizophrenia,Bulk-tissue biomarker,SEPTIN3,eQTL_Brain Cerebellar Hemisphere,Inverse variance weighted,9.77E-04,1.117
Schizophrenia,Bulk-tissue biomarker,ARL3,eQTL_Brain Cerebellum,Inverse variance weighted,1.35E-28,1.221
Schizophrenia,Bulk-tissue biomarker,CNNM2,eQTL_Brain Cerebellum,Wald ratio,2.72E-17,1.38
Schizophrenia,Bulk-tissue biomarker,ZSCAN31,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,1.192
Schizophrenia,Bulk-tissue biomarker,ZSCAN26,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,0.866
Schizophrenia,Bulk-tissue biomarker,ZNF603P,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,1.064
Schizophrenia,Bulk-tissue biomarker,ZNF602P,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,0.888
Schizophrenia,Bulk-tissue biomarker,ZKSCAN8P2,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,0.891
Schizophrenia,Bulk-tissue biomarker,ZSCAN23,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,1.14
Schizophrenia,Bulk-tissue biomarker,ZKSCAN8P1,eQTL_Brain Cerebellum,Wald ratio,3.36E-15,1.105
Schizophrenia,Bulk-tissue biomarker,BORCS7,eQTL_Brain Cerebellum,Inverse variance weighted,4.31E-14,0.898
Schizophrenia,Bulk-tissue biomarker,PACSIN3,eQTL_Brain Cerebellum,Wald ratio,1.55E-13,0.777
Schizophrenia,Bulk-tissue biomarker,ATG13,eQTL_Brain Cerebellum,Wald ratio,1.55E-13,1.34
Schizophrenia,Bulk-tissue biomarker,AS3MT,eQTL_Brain Cerebellum,Wald ratio,6.13E-13,0.942
Schizophrenia,Bulk-tissue biomarker,RPL22P17,eQTL_Brain Cerebellum,Wald ratio,6.13E-13,0.879
Schizophrenia,Bulk-tissue biomarker,MRM2,eQTL_Brain Cerebellum,Wald ratio,4.11E-11,1.114
Schizophrenia,Bulk-tissue biomarker,NUDT1,eQTL_Brain Cerebellum,Wald ratio,4.11E-11,0.843
Schizophrenia,Bulk-tissue biomarker,GPM6A-DT,eQTL_Brain Cerebellum,Wald ratio,8.78E-11,1.153
Schizophrenia,Bulk-tissue biomarker,Y_RNA,eQTL_Brain Cerebellum,Wald ratio,2.55E-09,0.904
Schizophrenia,Bulk-tissue biomarker,TM6SF2,eQTL_Brain Cerebellum,Wald ratio,3.57E-09,0.897
Schizophrenia,Bulk-tissue biomarker,HAPLN4,eQTL_Brain Cerebellum,Wald ratio,3.57E-09,0.724
Schizophrenia,Bulk-tissue biomarker,YJEFN3,eQTL_Brain Cerebellum,Wald ratio,3.57E-09,1.156
Schizophrenia,Bulk-tissue biomarker,MICB,eQTL_Brain Cerebellum,Wald ratio,8.77E-09,1.04
Schizophrenia,Bulk-tissue biomarker,CYP21A2,eQTL_Brain Cerebellum,Wald ratio,8.77E-09,1.098
Schizophrenia,Bulk-tissue biomarker,CYP21A1P,eQTL_Brain Cerebellum,Wald ratio,8.77E-09,0.895
Schizophrenia,Bulk-tissue biomarker,C4A,eQTL_Brain Cerebellum,Wald ratio,8.77E-09,0.889
Schizophrenia,Bulk-tissue biomarker,PALS2,eQTL_Brain Cerebellum,Wald ratio,1.10E-08,1.296
Schizophrenia,Bulk-tissue biomarker,MAPT-IT1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.127
Schizophrenia,Bulk-tissue biomarker,MAPT,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,0.763
Schizophrenia,Bulk-tissue biomarker,KANSL1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.184
Schizophrenia,Bulk-tissue biomarker,KANSL1-AS1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.056
Schizophrenia,Bulk-tissue biomarker,PLEKHM1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,0.94
Schizophrenia,Bulk-tissue biomarker,DND1P1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.097
Schizophrenia,Bulk-tissue biomarker,ARL17A,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.055
Schizophrenia,Bulk-tissue biomarker,LRRC37A,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.057
Schizophrenia,Bulk-tissue biomarker,LRRC37A4P,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,0.947
Schizophrenia,Bulk-tissue biomarker,MAPK8IP1P1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.058
Schizophrenia,Bulk-tissue biomarker,SPPL2C,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.088
Schizophrenia,Bulk-tissue biomarker,MAPK8IP1P2,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.058
Schizophrenia,Bulk-tissue biomarker,FAM215B,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.069
Schizophrenia,Bulk-tissue biomarker,LINC02210,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.205
Schizophrenia,Bulk-tissue biomarker,LRRC37A2,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,1.052
Schizophrenia,Bulk-tissue biomarker,FMNL1,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,0.922
Schizophrenia,Bulk-tissue biomarker,FMNL1-DT,eQTL_Brain Cerebellum,Wald ratio,1.11E-08,0.889
Schizophrenia,Bulk-tissue biomarker,GNL3,eQTL_Brain Cerebellum,Wald ratio,1.13E-08,0.906
Schizophrenia,Bulk-tissue biomarker,SEMA3G,eQTL_Brain Cerebellum,Wald ratio,1.13E-08,0.825
Schizophrenia,Bulk-tissue biomarker,GLYCTK,eQTL_Brain Cerebellum,Wald ratio,1.13E-08,0.872
Schizophrenia,Bulk-tissue biomarker,NEK4,eQTL_Brain Cerebellum,Wald ratio,1.13E-08,0.772
Schizophrenia,Bulk-tissue biomarker,GALNT2,eQTL_Brain Cerebellum,Wald ratio,3.10E-08,0.906
Schizophrenia,Bulk-tissue biomarker,SETD6,eQTL_Brain Cerebellum,Wald ratio,1.26E-07,1.084
Schizophrenia,Bulk-tissue biomarker,PLPP5,eQTL_Brain Cerebellum,Wald ratio,4.94E-07,1.081
Schizophrenia,Bulk-tissue biomarker,RPS20P22,eQTL_Brain Cerebellum,Wald ratio,4.94E-07,1.175
Schizophrenia,Bulk-tissue biomarker,DDHD2,eQTL_Brain Cerebellum,Wald ratio,4.94E-07,1.228
Schizophrenia,Bulk-tissue biomarker,YPEL3,eQTL_Brain Cerebellum,Wald ratio,8.13E-07,1.104
Schizophrenia,Bulk-tissue biomarker,INO80E,eQTL_Brain Cerebellum,Wald ratio,8.13E-07,0.822
Schizophrenia,Bulk-tissue biomarker,SMCR5,eQTL_Brain Cerebellum,Wald ratio,1.47E-06,1.068
Schizophrenia,Bulk-tissue biomarker,CCDC122,eQTL_Brain Cerebellum,Wald ratio,1.64E-06,1.072
Schizophrenia,Bulk-tissue biomarker,LACC1,eQTL_Brain Cerebellum,Wald ratio,1.64E-06,1.1
Schizophrenia,Bulk-tissue biomarker,PTPA,eQTL_Brain Cerebellum,Wald ratio,1.73E-06,1.156
Schizophrenia,Bulk-tissue biomarker,IER5L-AS1,eQTL_Brain Cerebellum,Wald ratio,1.73E-06,0.903
Schizophrenia,Bulk-tissue biomarker,RASA3,eQTL_Brain Cerebellum,Inverse variance weighted,2.67E-06,0.903
Schizophrenia,Bulk-tissue biomarker,GDNF-AS1,eQTL_Brain Cerebellum,Inverse variance weighted,4.04E-06,1.072
Schizophrenia,Bulk-tissue biomarker,DPYSL5,eQTL_Brain Cerebellum,Wald ratio,4.09E-06,0.886
Schizophrenia,Bulk-tissue biomarker,GDNF,eQTL_Brain Cerebellum,Wald ratio,6.37E-06,1.095
Schizophrenia,Bulk-tissue biomarker,PITPNC1,eQTL_Brain Cerebellum,Wald ratio,7.58E-06,0.831
Schizophrenia,Bulk-tissue biomarker,EEFSEC,eQTL_Brain Cerebellum,Wald ratio,8.03E-06,0.864
Schizophrenia,Bulk-tissue biomarker,SNX32,eQTL_Brain Cerebellum,Wald ratio,9.15E-06,0.962
Schizophrenia,Bulk-tissue biomarker,EFEMP2,eQTL_Brain Cerebellum,Wald ratio,9.15E-06,0.899
Schizophrenia,Bulk-tissue biomarker,FAM83H,eQTL_Brain Cerebellum,Wald ratio,9.98E-06,0.955
Schizophrenia,Bulk-tissue biomarker,IQANK1,eQTL_Brain Cerebellum,Wald ratio,9.98E-06,0.954
Schizophrenia,Bulk-tissue biomarker,LEMD2,eQTL_Brain Cerebellum,Wald ratio,1.16E-05,1.147
Schizophrenia,Bulk-tissue biomarker,CARD16,eQTL_Brain Cerebellum,Wald ratio,1.60E-05,0.908
Schizophrenia,Bulk-tissue biomarker,LINC02552,eQTL_Brain Cerebellum,Wald ratio,1.60E-05,0.887
Schizophrenia,Bulk-tissue biomarker,ADIPOR2,eQTL_Brain Cerebellum,Wald ratio,1.70E-05,1.217
Schizophrenia,Bulk-tissue biomarker,SERPINI1,eQTL_Brain Cerebellum,Wald ratio,2.28E-05,1.074
Schizophrenia,Bulk-tissue biomarker,DARS2,eQTL_Brain Cerebellum,Wald ratio,2.46E-05,0.93
Schizophrenia,Bulk-tissue biomarker,NDST3,eQTL_Brain Cerebellum,Wald ratio,2.51E-05,0.939
Schizophrenia,Bulk-tissue biomarker,TTC14,eQTL_Brain Cerebellum,Wald ratio,2.67E-05,1.206
Schizophrenia,Bulk-tissue biomarker,ACTR1B,eQTL_Brain Cerebellum,Wald ratio,2.97E-05,1.094
Schizophrenia,Bulk-tissue biomarker,SIPA1L1-AS1,eQTL_Brain Cerebellum,Wald ratio,3.05E-05,0.911
Schizophrenia,Bulk-tissue biomarker,TRHDE-AS1,eQTL_Brain Cerebellum,Wald ratio,3.12E-05,0.883
Schizophrenia,Bulk-tissue biomarker,SNF8,eQTL_Brain Cerebellum,Wald ratio,3.43E-05,0.906
Schizophrenia,Bulk-tissue biomarker,ATP5MC1,eQTL_Brain Cerebellum,Wald ratio,3.43E-05,0.897
Schizophrenia,Bulk-tissue biomarker,DNAH7,eQTL_Brain Cerebellum,Wald ratio,3.44E-05,1.136
Schizophrenia,Bulk-tissue biomarker,INKA1,eQTL_Brain Cerebellum,Wald ratio,3.66E-05,1.064
Schizophrenia,Bulk-tissue biomarker,MST1R,eQTL_Brain Cerebellum,Wald ratio,3.66E-05,1.066
Schizophrenia,Bulk-tissue biomarker,RBM6,eQTL_Brain Cerebellum,Wald ratio,3.66E-05,0.947
Schizophrenia,Bulk-tissue biomarker,RNF123,eQTL_Brain Cerebellum,Wald ratio,3.66E-05,1.115
Schizophrenia,Bulk-tissue biomarker,GMPPB,eQTL_Brain Cerebellum,Wald ratio,3.66E-05,1.124
Schizophrenia,Bulk-tissue biomarker,MYZAP,eQTL_Brain Cerebellum,Wald ratio,3.69E-05,0.916
Schizophrenia,Bulk-tissue biomarker,APC2,eQTL_Brain Cerebellum,Wald ratio,3.79E-05,0.948
Schizophrenia,Bulk-tissue biomarker,ZFAND2B,eQTL_Brain Cerebellum,Wald ratio,3.81E-05,1.109
Schizophrenia,Bulk-tissue biomarker,ABCB6,eQTL_Brain Cerebellum,Wald ratio,3.81E-05,1.171
Schizophrenia,Bulk-tissue biomarker,CNPPD1,eQTL_Brain Cerebellum,Wald ratio,3.81E-05,1.094
Schizophrenia,Bulk-tissue biomarker,IHH,eQTL_Brain Cerebellum,Wald ratio,3.81E-05,1.086
Schizophrenia,Bulk-tissue biomarker,ATG9A,eQTL_Brain Cerebellum,Wald ratio,3.81E-05,1.16
Schizophrenia,Bulk-tissue biomarker,RETREG2,eQTL_Brain Cerebellum,Wald ratio,3.81E-05,1.085
Schizophrenia,Bulk-tissue biomarker,IFT57,eQTL_Brain Cerebellum,Wald ratio,3.93E-05,1.099
Schizophrenia,Bulk-tissue biomarker,NUCB2,eQTL_Brain Cerebellum,Wald ratio,4.42E-05,0.894
Schizophrenia,Bulk-tissue biomarker,ABCC8,eQTL_Brain Cerebellum,Wald ratio,4.42E-05,0.937
Schizophrenia,Bulk-tissue biomarker,GCH1,eQTL_Brain Cerebellum,Wald ratio,4.66E-05,1.078
Schizophrenia,Bulk-tissue biomarker,DISP3,eQTL_Brain Cerebellum,Wald ratio,4.73E-05,0.912
Schizophrenia,Bulk-tissue biomarker,L3HYPDH,eQTL_Brain Cerebellum,Inverse variance weighted,4.78E-05,0.932
Schizophrenia,Bulk-tissue biomarker,SIKE1,eQTL_Brain Cerebellum,Wald ratio,6.05E-05,1.21
Schizophrenia,Bulk-tissue biomarker,TMEM268,eQTL_Brain Cerebellum,Wald ratio,6.14E-05,1.11
Schizophrenia,Bulk-tissue biomarker,DNAH10OS,eQTL_Brain Cerebellum,Wald ratio,6.34E-05,0.889
Schizophrenia,Bulk-tissue biomarker,ZBED4,eQTL_Brain Cerebellum,Wald ratio,6.74E-05,1.124
Schizophrenia,Bulk-tissue biomarker,PTK6,eQTL_Brain Cerebellum,Wald ratio,7.52E-05,1.073
Schizophrenia,Bulk-tissue biomarker,NCK1-DT,eQTL_Brain Cerebellum,Wald ratio,7.94E-05,1.119
Schizophrenia,Bulk-tissue biomarker,NPIPB2,eQTL_Brain Cerebellum,Wald ratio,8.41E-05,0.972
Schizophrenia,Bulk-tissue biomarker,NUDCD3,eQTL_Brain Cerebellum,Wald ratio,8.86E-05,1.073
Schizophrenia,Bulk-tissue biomarker,FANCG,eQTL_Brain Cerebellum,Wald ratio,9.30E-05,1.132
Schizophrenia,Bulk-tissue biomarker,TTC21B,eQTL_Brain Cerebellum,Wald ratio,1.05E-04,0.863
Schizophrenia,Bulk-tissue biomarker,PENK-AS1,eQTL_Brain Cerebellum,Wald ratio,1.14E-04,1.072
Schizophrenia,Bulk-tissue biomarker,PENK,eQTL_Brain Cerebellum,Wald ratio,1.14E-04,1.065
Schizophrenia,Bulk-tissue biomarker,SPTBN1,eQTL_Brain Cerebellum,Wald ratio,1.15E-04,1.099
Schizophrenia,Bulk-tissue biomarker,CDHR1,eQTL_Brain Cerebellum,Wald ratio,1.22E-04,1.089
Schizophrenia,Bulk-tissue biomarker,NUS1,eQTL_Brain Cerebellum,Wald ratio,1.27E-04,0.873
Schizophrenia,Bulk-tissue biomarker,HSPA13,eQTL_Brain Cerebellum,Wald ratio,1.27E-04,0.778
Schizophrenia,Bulk-tissue biomarker,EMC2,eQTL_Brain Cerebellum,Inverse variance weighted,1.38E-04,0.929
Schizophrenia,Bulk-tissue biomarker,THOC7,eQTL_Brain Cerebellum,Wald ratio,1.58E-04,1.134
Schizophrenia,Bulk-tissue biomarker,VPS8,eQTL_Brain Cerebellum,Wald ratio,1.65E-04,1.062
Schizophrenia,Bulk-tissue biomarker,LINC02980,eQTL_Brain Cerebellum,Wald ratio,1.71E-04,1.053
Schizophrenia,Bulk-tissue biomarker,TPBG,eQTL_Brain Cerebellum,Wald ratio,2.05E-04,0.907
Schizophrenia,Bulk-tissue biomarker,KMT5C,eQTL_Brain Cerebellum,Wald ratio,2.16E-04,1.104
Schizophrenia,Bulk-tissue biomarker,COX6B2,eQTL_Brain Cerebellum,Wald ratio,2.16E-04,1.076
Schizophrenia,Bulk-tissue biomarker,ANKK1,eQTL_Brain Cerebellum,Wald ratio,2.24E-04,1.051
Schizophrenia,Bulk-tissue biomarker,MTMR7,eQTL_Brain Cerebellum,Wald ratio,2.26E-04,0.846
Schizophrenia,Bulk-tissue biomarker,THAP5,eQTL_Brain Cerebellum,Wald ratio,2.39E-04,1.067
Schizophrenia,Bulk-tissue biomarker,SZT2,eQTL_Brain Cerebellum,Wald ratio,2.49E-04,0.89
Schizophrenia,Bulk-tissue biomarker,RNF170,eQTL_Brain Cerebellum,Wald ratio,2.61E-04,0.806
Schizophrenia,Bulk-tissue biomarker,PPP3CC,eQTL_Brain Cerebellum,Wald ratio,2.89E-04,0.926
Schizophrenia,Bulk-tissue biomarker,TYW5,eQTL_Brain Cerebellum,Wald ratio,2.89E-04,1.088
Schizophrenia,Bulk-tissue biomarker,FLOT1,eQTL_Brain Cerebellum,Wald ratio,2.99E-04,1.112
Schizophrenia,Bulk-tissue biomarker,DDR1,eQTL_Brain Cerebellum,Wald ratio,2.99E-04,1.211
Schizophrenia,Bulk-tissue biomarker,XPNPEP3,eQTL_Brain Cerebellum,Wald ratio,3.07E-04,0.896
Schizophrenia,Bulk-tissue biomarker,MRPL37,eQTL_Brain Cerebellum,Wald ratio,3.10E-04,0.938
Schizophrenia,Bulk-tissue biomarker,MAP1LC3A,eQTL_Brain Cerebellum,Wald ratio,3.13E-04,0.943
Schizophrenia,Bulk-tissue biomarker,ACSS2,eQTL_Brain Cerebellum,Wald ratio,3.13E-04,0.883
Schizophrenia,Bulk-tissue biomarker,SLC25A24,eQTL_Brain Cerebellum,Wald ratio,3.28E-04,0.966
Schizophrenia,Bulk-tissue biomarker,GOSR1,eQTL_Brain Cerebellum,Wald ratio,3.42E-04,1.083
Schizophrenia,Bulk-tissue biomarker,NSRP1,eQTL_Brain Cerebellum,Wald ratio,3.42E-04,0.889
Schizophrenia,Bulk-tissue biomarker,SBNO1-AS1,eQTL_Brain Cerebellum,Wald ratio,3.60E-04,1.077
Schizophrenia,Bulk-tissue biomarker,WAC-AS1,eQTL_Brain Cerebellum,Wald ratio,3.71E-04,1.081
Schizophrenia,Bulk-tissue biomarker,PPP1R13B-DT,eQTL_Brain Cerebellum,Inverse variance weighted,4.18E-04,1.052
Schizophrenia,Bulk-tissue biomarker,MYO5A,eQTL_Brain Cerebellum,Wald ratio,4.19E-04,0.949
Schizophrenia,Bulk-tissue biomarker,CYP2U1,eQTL_Brain Cerebellum,Wald ratio,4.20E-04,1.089
Schizophrenia,Bulk-tissue biomarker,SMIM2-AS1,eQTL_Brain Cerebellum,Wald ratio,4.59E-04,0.966
Schizophrenia,Bulk-tissue biomarker,KLHL9,eQTL_Brain Cerebellum,Wald ratio,4.73E-04,1.224
Schizophrenia,Bulk-tissue biomarker,IFNA20P,eQTL_Brain Cerebellum,Wald ratio,4.73E-04,0.948
Schizophrenia,Bulk-tissue biomarker,HSD17B1P1,eQTL_Brain Cerebellum,Wald ratio,4.75E-04,1.085
Schizophrenia,Bulk-tissue biomarker,HSD17B1,eQTL_Brain Cerebellum,Wald ratio,4.75E-04,1.076
Schizophrenia,Bulk-tissue biomarker,GALNT10,eQTL_Brain Cerebellum,Inverse variance weighted,4.86E-04,0.918
Schizophrenia,Bulk-tissue biomarker,POGZ,eQTL_Brain Cerebellum,Wald ratio,4.97E-04,1.103
Schizophrenia,Bulk-tissue biomarker,KIAA0513,eQTL_Brain Cerebellum,Wald ratio,5.28E-04,0.897
Schizophrenia,Bulk-tissue biomarker,TFAP2E-AS1,eQTL_Brain Cerebellum,Wald ratio,5.39E-04,0.851
Schizophrenia,Bulk-tissue biomarker,UNC79,eQTL_Brain Cerebellum,Wald ratio,5.47E-04,0.91
Schizophrenia,Bulk-tissue biomarker,EOGT-DT,eQTL_Brain Cerebellum,Wald ratio,5.56E-04,1.121
Schizophrenia,Bulk-tissue biomarker,ODAD1,eQTL_Brain Cerebellum,Wald ratio,5.63E-04,1.046
Schizophrenia,Bulk-tissue biomarker,KCTD21,eQTL_Brain Cerebellum,Wald ratio,5.85E-04,0.953
Schizophrenia,Bulk-tissue biomarker,KCTD21-AS1,eQTL_Brain Cerebellum,Wald ratio,5.85E-04,1.045
Schizophrenia,Bulk-tissue biomarker,ALG8,eQTL_Brain Cerebellum,Wald ratio,5.85E-04,0.931
Schizophrenia,Bulk-tissue biomarker,NDUFC2,eQTL_Brain Cerebellum,Wald ratio,5.85E-04,0.924
Schizophrenia,Bulk-tissue biomarker,PCDHA2,eQTL_Brain Cerebellum,Wald ratio,5.94E-04,1.066
Schizophrenia,Bulk-tissue biomarker,PCDHA1,eQTL_Brain Cerebellum,Wald ratio,5.94E-04,1.079
Schizophrenia,Bulk-tissue biomarker,PCDHA3,eQTL_Brain Cerebellum,Wald ratio,5.94E-04,1.081
Schizophrenia,Bulk-tissue biomarker,PCDHA13,eQTL_Brain Cerebellum,Wald ratio,5.94E-04,1.041
Schizophrenia,Bulk-tissue biomarker,HARS1,eQTL_Brain Cerebellum,Wald ratio,5.94E-04,1.109
Schizophrenia,Bulk-tissue biomarker,TMCO6,eQTL_Brain Cerebellum,Wald ratio,5.94E-04,0.89
Schizophrenia,Bulk-tissue biomarker,LINGO1,eQTL_Brain Cerebellum,Wald ratio,5.99E-04,1.132
Schizophrenia,Bulk-tissue biomarker,GNB1-DT,eQTL_Brain Cerebellum,Wald ratio,6.61E-04,0.935
Schizophrenia,Bulk-tissue biomarker,CHRNA6,eQTL_Brain Cerebellum,Inverse variance weighted,6.75E-04,1.048
Schizophrenia,Bulk-tissue biomarker,PROX1-AS1,eQTL_Brain Cerebellum,Wald ratio,6.86E-04,1.067
Schizophrenia,Bulk-tissue biomarker,KRIT1,eQTL_Brain Cerebellum,Wald ratio,6.94E-04,1.109
Schizophrenia,Bulk-tissue biomarker,ATP5MC2,eQTL_Brain Cerebellum,Wald ratio,7.28E-04,1.038
Schizophrenia,Bulk-tissue biomarker,ZNF843,eQTL_Brain Cerebellum,Wald ratio,7.38E-04,1.082
Schizophrenia,Bulk-tissue biomarker,NAT10,eQTL_Brain Cerebellum,Wald ratio,7.72E-04,1.1
Schizophrenia,Bulk-tissue biomarker,ARL14EP,eQTL_Brain Cerebellum,Wald ratio,7.79E-04,0.933
Schizophrenia,Bulk-tissue biomarker,SMIM8,eQTL_Brain Cerebellum,Wald ratio,8.03E-04,1.068
Schizophrenia,Bulk-tissue biomarker,C6orf163,eQTL_Brain Cerebellum,Wald ratio,8.03E-04,0.929
Schizophrenia,Bulk-tissue biomarker,C4orf33,eQTL_Brain Cerebellum,Wald ratio,8.32E-04,0.928
Schizophrenia,Bulk-tissue biomarker,SCLT1,eQTL_Brain Cerebellum,Wald ratio,8.32E-04,0.87
Schizophrenia,Bulk-tissue biomarker,NMT2,eQTL_Brain Cerebellum,Wald ratio,8.50E-04,1.09
Schizophrenia,Bulk-tissue biomarker,DENND6B,eQTL_Brain Cerebellum,Wald ratio,8.59E-04,0.853
Schizophrenia,Bulk-tissue biomarker,NSUN2,eQTL_Brain Cerebellum,Wald ratio,9.27E-04,1.028
Schizophrenia,Bulk-tissue biomarker,ARHGAP44,eQTL_Brain Cerebellum,Wald ratio,9.75E-04,0.886
Schizophrenia,Bulk-tissue biomarker,WBP1L,eQTL_Brain Cortex,Wald ratio,2.72E-17,0.709
Schizophrenia,Bulk-tissue biomarker,NT5C2,eQTL_Brain Cortex,Wald ratio,2.72E-17,1.397
Schizophrenia,Bulk-tissue biomarker,ZSCAN26,eQTL_Brain Cortex,Wald ratio,3.36E-15,0.828
Schizophrenia,Bulk-tissue biomarker,ZSCAN31,eQTL_Brain Cortex,Wald ratio,3.36E-15,1.083
Schizophrenia,Bulk-tissue biomarker,ZNF603P,eQTL_Brain Cortex,Wald ratio,3.36E-15,1.065
Schizophrenia,Bulk-tissue biomarker,ZKSCAN8P1,eQTL_Brain Cortex,Wald ratio,3.36E-15,1.168
Schizophrenia,Bulk-tissue biomarker,ZKSCAN3,eQTL_Brain Cortex,Wald ratio,3.36E-15,0.798
Schizophrenia,Bulk-tissue biomarker,ZNF602P,eQTL_Brain Cortex,Wald ratio,3.36E-15,0.874
Schizophrenia,Bulk-tissue biomarker,ZSCAN23,eQTL_Brain Cortex,Wald ratio,3.36E-15,1.128
Schizophrenia,Bulk-tissue biomarker,ZKSCAN8P2,eQTL_Brain Cortex,Wald ratio,3.36E-15,0.896
Schizophrenia,Bulk-tissue biomarker,VPS29,eQTL_Brain Cortex,Wald ratio,4.46E-12,1.266
Schizophrenia,Bulk-tissue biomarker,MRM2,eQTL_Brain Cortex,Wald ratio,2.54E-11,1.106
Schizophrenia,Bulk-tissue biomarker,NAGA,eQTL_Brain Cortex,Wald ratio,5.91E-11,0.865
Schizophrenia,Bulk-tissue biomarker,WBP2NL,eQTL_Brain Cortex,Wald ratio,5.91E-11,0.863
Schizophrenia,Bulk-tissue biomarker,CYP2D6,eQTL_Brain Cortex,Wald ratio,5.91E-11,1.072
Schizophrenia,Bulk-tissue biomarker,PHETA2,eQTL_Brain Cortex,Wald ratio,5.91E-11,0.81
Schizophrenia,Bulk-tissue biomarker,GPM6A-DT,eQTL_Brain Cortex,Wald ratio,8.78E-11,1.127
Schizophrenia,Bulk-tissue biomarker,SMG1P5,eQTL_Brain Cortex,Wald ratio,3.88E-10,1.154
Schizophrenia,Bulk-tissue biomarker,MAPK3,eQTL_Brain Cortex,Wald ratio,3.88E-10,0.892
Schizophrenia,Bulk-tissue biomarker,TBX6,eQTL_Brain Cortex,Wald ratio,3.88E-10,1.267
Schizophrenia,Bulk-tissue biomarker,SMG1P6,eQTL_Brain Cortex,Wald ratio,3.88E-10,0.851
Schizophrenia,Bulk-tissue biomarker,SLX1B,eQTL_Brain Cortex,Wald ratio,3.88E-10,1.141
Schizophrenia,Bulk-tissue biomarker,BOLA2,eQTL_Brain Cortex,Wald ratio,3.88E-10,0.865
Schizophrenia,Bulk-tissue biomarker,PCCB,eQTL_Brain Cortex,Wald ratio,1.38E-09,1.143
