Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
ADHD,Qualifications: College or University degree ,Weighted mode,-2.120988396,0.551133788,1.53E-04,1.20E-01,4.07E-02,3.53E-01,1.18E-25,1.37E-25,0.526042364
SCZ,Unable to work because of sickness or disability,MR Egger,-1.85549442,0.498067428,2.00E-04,1.56E-01,5.89E-02,4.15E-01,2.55E-04,2.53E-04,0.299104165
ASD,Intelligence ,Weighted median,0.398112545,0.10801971,2.28E-04,1.49E+00,1.20E+00,1.84E+00,4.32E-01,4.45E-01,0.508952987
ED,Intelligence ,Weighted median,-0.378462957,0.104280528,2.84E-04,6.85E-01,5.58E-01,8.40E-01,1.44E-11,1.54E-11,0.454530892
PTSD,Trauma exposure ,Weighted median,0.462220446,0.128067787,3.07E-04,1.59E+00,1.24E+00,2.04E+00,1.20E-02,1.69E-02,0.618837049
ED,Educational attainment,MR Egger,0.423928531,0.119177152,3.86E-04,1.53E+00,1.21E+00,1.93E+00,4.18E-02,4.05E-02,0.177159832
DEP,Age at first birth ,Weighted mode,-0.130073159,0.034233909,3.88E-04,8.78E-01,8.21E-01,9.39E-01,3.41E-04,1.34E-04,0.098355856
ANX,Extraversion,Inverse variance weighted,0.012720866,0.00358708,3.91E-04,1.01E+00,1.01E+00,1.02E+00,3.79E-20,3.65E-20,0.300348565
BP,Unable to work because of sickness or disability,Weighted median,-1.084765374,0.30682689,4.07E-04,3.38E-01,1.85E-01,6.17E-01,8.40E-02,8.69E-02,0.9157505
BP,smoking initiation ,Weighted median,0.299511391,0.085022059,4.27E-04,1.35E+00,1.14E+00,1.59E+00,4.01E-01,4.31E-01,0.98282675
BP,Extraversion,Inverse variance weighted,0.004651447,0.001324464,4.45E-04,1.00E+00,1.00E+00,1.01E+00,2.10E-01,2.11E-01,0.406035228
SCZ,Type 1 diabetes ,Weighted mode,-0.025580442,0.006695323,4.66E-04,9.75E-01,9.62E-01,9.88E-01,2.89E-07,1.77E-07,0.2824836
DEP,Living alone,Weighted median,-1.292538887,0.369738907,4.73E-04,2.75E-01,1.33E-01,5.67E-01,3.88E-01,3.94E-01,0.750780149
SCZ,Trauma exposure ,Inverse variance weighted,0.445141668,0.12761522,4.86E-04,1.56E+00,1.22E+00,2.00E+00,1.20E-02,1.69E-02,0.618837049
OCD,Educational attainment,MR Egger,0.711011246,0.20384049,4.98E-04,2.04E+00,1.37E+00,3.04E+00,2.71E-14,1.31E-14,0.011722259
ED,Qualifications: College or University degree ,MR Egger,-2.756652453,0.780659293,5.10E-04,6.35E-02,1.37E-02,2.93E-01,7.01E-11,6.87E-12,0.008009552
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,4.639183464,1.335837332,5.15E-04,1.03E+02,7.55E+00,1.42E+03,5.73E-01,1.51E-01,0.040689839
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,4.639183464,1.335837332,5.15E-04,1.03E+02,7.55E+00,1.42E+03,5.73E-01,1.51E-01,0.040689839
ADHD,Age at first birth ,Weighted mode,-0.34700996,0.092653256,5.43E-04,7.07E-01,5.89E-01,8.48E-01,5.82E-09,2.33E-09,0.22057734
PTSD,smoking initiation ,Inverse variance weighted,0.280198566,0.081145541,5.54E-04,1.32E+00,1.13E+00,1.55E+00,2.26E-27,4.38E-27,0.991805771
DEP,Maternal smoking around birth ,Inverse variance weighted,0.966011824,0.280767316,5.80E-04,2.63E+00,1.52E+00,4.56E+00,1.26E-03,2.10E-03,0.872675286
DEP,Maternal smoking around birth ,Inverse variance weighted,0.966011824,0.280767316,5.80E-04,2.63E+00,1.52E+00,4.56E+00,1.26E-03,2.10E-03,0.872675286
BP,Unable to work because of sickness or disability,MR Egger,-1.587432069,0.460784646,5.82E-04,2.04E-01,8.29E-02,5.04E-01,8.40E-02,8.69E-02,0.9157505
DEP,Maternal smoking around birth ,Weighted median,0.888924548,0.258911303,5.96E-04,2.43E+00,1.46E+00,4.04E+00,1.26E-03,2.10E-03,0.872675286
ADHD,smoking initiation ,MR Egger,1.464997703,0.410510616,6.10E-04,4.33E+00,1.94E+00,9.68E+00,3.61E-20,6.44E-21,0.153206716
ADHD,Age at first birth ,Simple mode,-0.374603357,0.101459529,6.35E-04,6.88E-01,5.64E-01,8.39E-01,5.82E-09,2.33E-09,0.22057734
ADHD,Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence,Inverse variance weighted,-0.014908867,0.004410022,7.23E-04,9.85E-01,9.77E-01,9.94E-01,5.57E-09,1.67E-09,0.000624709
SCZ,"Diagnoses - secondary ICD10: M06.99 Rheumatoid arthritis, unspecified (Site unspecified) ",Weighted median,15.78586545,4.67163508,7.27E-04,7.17E+06,7.57E+02,6.80E+10,1.49E-01,6.18E-02,0.419052098
SCZ,Unable to work because of sickness or disability,Weighted median,-0.935252256,0.276932496,7.32E-04,3.92E-01,2.28E-01,6.75E-01,2.55E-04,2.53E-04,0.299104165
DEP,Maternal smoking around birth ,Weighted median,0.888924548,0.263464909,7.41E-04,2.43E+00,1.45E+00,4.08E+00,1.26E-03,2.10E-03,0.872675286
PTSD,Current employment status: Unemployed,Inverse variance weighted,-1.725595509,0.511473781,7.41E-04,1.78E-01,6.53E-02,4.85E-01,1.18E-03,1.22E-03,0.485133606
PTSD,Current employment status: Unemployed,Inverse variance weighted,-1.725595509,0.511473781,7.41E-04,1.78E-01,6.53E-02,4.85E-01,1.18E-03,1.22E-03,0.485133606
OCD,Educational attainment,Weighted median,0.489780537,0.145389146,7.55E-04,1.63E+00,1.23E+00,2.17E+00,2.71E-14,1.31E-14,0.011722259
ED,Primary sclerosing cholangitis ,Weighted median,0.060815838,0.018177017,8.21E-04,1.06E+00,1.03E+00,1.10E+00,4.36E-01,3.44E-01,0.145430993
DEP,Neuroticism score ,MR Egger,0.257509114,0.075206139,8.73E-04,1.29E+00,1.12E+00,1.50E+00,1.55E-10,6.41E-11,0.134958317
SCZ,Primary sclerosing cholangitis ,MR Egger,-0.13365005,0.031793181,8.84E-04,8.75E-01,8.22E-01,9.31E-01,5.23E-04,1.42E-04,0.183882486
DEP,smoking initiation ,Simple mode,0.284206423,0.082346361,8.84E-04,1.33E+00,1.13E+00,1.56E+00,8.00E-04,7.40E-04,0.310689123
ADHD,Body mass index (BMI) ,Weighted mode,0.376187024,0.113393538,9.87E-04,1.46E+00,1.17E+00,1.82E+00,9.30E-35,1.63E-37,0.000585481
SCZ,Intelligence ,Inverse variance weighted,-0.331396232,0.101814075,1.13E-03,7.18E-01,5.88E-01,8.76E-01,6.21E-49,1.56E-49,0.232036593
PTSD,Body mass index (BMI) ,MR Egger,0.41891698,0.128480753,1.20E-03,1.52E+00,1.18E+00,1.96E+00,6.63E-60,1.01E-59,0.813425492
SCZ,Living alone,Inverse variance weighted,-1.997675222,0.619393789,1.26E-03,1.36E-01,4.03E-02,4.57E-01,6.13E-04,5.91E-04,0.212492766
ALZ,Qualifications: College or University degree ,Inverse variance weighted,-0.395428245,0.12271948,1.27E-03,6.73E-01,5.29E-01,8.57E-01,3.94E-01,4.59E-01,0.61001471
BP,Autoimmune diseases ,Inverse variance weighted,-0.074281946,0.023118861,1.31E-03,9.28E-01,8.87E-01,9.71E-01,9.36E-01,9.11E-01,0.166070761
ADHD,Type 2 diabetes ,Inverse variance weighted,0.064350026,0.020118931,1.38E-03,1.07E+00,1.03E+00,1.11E+00,2.95E-10,2.10E-11,0.021489974
SCZ,Trauma exposure ,Weighted median,0.290949054,0.090973179,1.38E-03,1.34E+00,1.12E+00,1.60E+00,1.20E-02,1.69E-02,0.618837049
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.831073584,1.851237691,1.63E-03,3.41E+02,9.05E+00,1.28E+04,5.73E-01,1.51E-01,0.040689839
ALZ,Intelligence ,Inverse variance weighted,-0.197138395,0.062734629,1.68E-03,8.21E-01,7.26E-01,9.29E-01,3.88E-09,4.32E-09,0.491761243
ED,Intelligence ,MR Egger,-1.459499094,0.457892285,1.77E-03,2.32E-01,9.47E-02,5.70E-01,1.44E-11,1.54E-11,0.454530892
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.831073584,1.867016971,1.79E-03,3.41E+02,8.77E+00,1.32E+04,5.73E-01,1.51E-01,0.040689839
DEP,Extraversion,Inverse variance weighted,0.001935982,0.000621638,1.84E-03,1.00E+00,1.00E+00,1.00E+00,2.10E-01,2.11E-01,0.406035228
ASD,Qualifications: College or University degree ,Weighted median,0.687856626,0.220944543,1.85E-03,1.99E+00,1.29E+00,3.07E+00,2.99E-01,3.11E-01,0.634434752
ADHD,Maternal smoking around birth ,Simple mode,4.71817689,1.239962883,1.93E-03,1.12E+02,9.85E+00,1.27E+03,4.56E-04,1.01E-04,0.17534613
BP,Autoimmune diseases ,Weighted mode,-0.074267556,0.022415921,1.93E-03,9.28E-01,8.89E-01,9.70E-01,9.36E-01,9.11E-01,0.166070761
SCZ,Age-related hearing impairment (MTAG) ,Inverse variance weighted,-0.45753057,0.1480024,1.99E-03,6.33E-01,4.73E-01,8.46E-01,7.86E-03,9.80E-03,0.618456104
