Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
GNL3,Epen1_D52_ROT,ASD,Wald ratio,1,1.102,4.69E-03,NA,NA,NA,0.269060346
MALT1,Excitatory neurons,ASD,Wald ratio,1,0.851,4.80E-03,NA,NA,NA,0.000639408
LSM1,P_FPP_D11,ASD,Wald ratio,1,1.192,4.82E-03,NA,NA,NA,0.292245278
TRIM66,OPCs / COPs,ASD,Wald ratio,1,1.079,4.85E-03,NA,NA,NA,0.004784608
TRIM66,Astrocytes,ASD,Wald ratio,1,1.104,4.85E-03,NA,NA,NA,0.268406352
HIST2H2AA3,Epen1_D30,ASD,Wald ratio,1,1.176,4.85E-03,NA,NA,NA,0.153658745
TRIM66,P_FPP_D11,ASD,Wald ratio,1,1.103,4.85E-03,NA,NA,NA,0.268406281
TRIM66,FPP_D11,ASD,Wald ratio,1,1.134,4.85E-03,NA,NA,NA,0.268359569
ID4,Sert_D52,ASD,Wald ratio,1,0.859,4.91E-03,NA,NA,NA,0.265310912
TDP1,OPCs / COPs,ASD,Wald ratio,1,1.145,5.03E-03,NA,NA,NA,6.46E-05
GSTZ1,Excitatory neurons,ASD,Wald ratio,1,0.882,5.09E-03,NA,NA,NA,0.001105158
PPIA,Epen1_D52,ASD,Wald ratio,1,0.825,5.10E-03,NA,NA,NA,0.101025488
PPIA,DA_D52,ASD,Wald ratio,1,0.854,5.10E-03,NA,NA,NA,0.158730001
PPIA,FPP_D11,ASD,Wald ratio,1,0.803,5.10E-03,NA,NA,NA,0.363549588
MYC,Pericytes,ASD,Wald ratio,1,1.151,5.20E-03,NA,NA,NA,8.44E-05
YTHDC1,Astrocytes,ASD,Wald ratio,1,0.774,5.24E-03,NA,NA,NA,4.04E-05
ADGRL3,OPCs / COPs,ASD,Wald ratio,1,0.75,5.25E-03,NA,NA,NA,0.000147838
SPHK1,Epen1_D52,ASD,Wald ratio,1,1.14,5.31E-03,NA,NA,NA,0.231635426
CACHD1,Excitatory neurons,ASD,Wald ratio,1,1.323,5.44E-03,NA,NA,NA,0.00014434
CACHD1,OPCs / COPs,ASD,Wald ratio,1,0.836,5.44E-03,NA,NA,NA,5.00E-05
SF3B2,Oligodendrocytes,ASD,Wald ratio,1,1.144,5.47E-03,NA,NA,NA,0.260080738
TMEM50B,FPP_D11,ASD,Wald ratio,1,0.906,5.61E-03,NA,NA,NA,0.239719124
TMEM50B,Sert_D52,ASD,Wald ratio,1,0.926,5.61E-03,NA,NA,NA,0.239732074
TMEM50B,P_FPP_D11,ASD,Wald ratio,1,0.868,5.61E-03,NA,NA,NA,0.10514813
HEY2,Oligodendrocytes,ASD,Wald ratio,1,0.789,5.63E-03,NA,NA,NA,3.13E-05
CDKAL1,Pericytes,ASD,Wald ratio,1,0.877,5.66E-03,NA,NA,NA,4.36E-05
CSNK1D,Inhibitory neurons,ASD,Wald ratio,1,1.089,5.78E-03,NA,NA,NA,0.000972639
MAATS1,Endothelial cells,ASD,Wald ratio,1,0.856,5.79E-03,NA,NA,NA,6.07E-05
FIBP,P_FPP_D11,ASD,Wald ratio,1,1.075,5.88E-03,NA,NA,NA,0.273216116
TRPC4AP,Sert_D52,ASD,Wald ratio,1,1.154,5.93E-03,NA,NA,NA,0.022948382
YLPM1,OPCs / COPs,ASD,Wald ratio,1,1.212,6.02E-03,NA,NA,NA,3.30E-05
PSPC1,P_FPP_D11,ASD,Wald ratio,1,1.215,6.04E-03,NA,NA,NA,0.015127329
MDH2,Excitatory neurons,ASD,Wald ratio,1,0.668,6.13E-03,NA,NA,NA,4.41E-05
TPRA1,FPP_D11,ASD,Wald ratio,1,0.85,6.13E-03,NA,NA,NA,0.066474666
LSP1,Microglia,ASD,Wald ratio,1,1.106,6.14E-03,NA,NA,NA,0.009733095
AC021504.1,Inhibitory neurons,ASD,Wald ratio,1,1.09,6.34E-03,NA,NA,NA,0.000241184
SMARCD2,Endothelial cells,ASD,Wald ratio,1,1.149,6.37E-03,NA,NA,NA,9.39E-05
GREM1,Oligodendrocytes,ASD,Wald ratio,1,1.067,6.46E-03,NA,NA,NA,0.219675681
CNTN3,Inhibitory neurons,ASD,Wald ratio,1,1.267,6.47E-03,NA,NA,NA,2.86E-05
MIATNB,Endothelial cells,ASD,Wald ratio,1,1.085,6.58E-03,NA,NA,NA,3.73E-05
SH3D19,Oligodendrocytes,ASD,Wald ratio,1,1.235,6.68E-03,NA,NA,NA,4.91E-05
TDRD10,Inhibitory neurons,ASD,Wald ratio,1,0.885,6.72E-03,NA,NA,NA,3.69E-05
SHE,Endothelial cells,ASD,Wald ratio,1,1.157,6.72E-03,NA,NA,NA,3.42E-05
AC005082.1,Pericytes,ASD,Wald ratio,1,1.088,6.78E-03,NA,NA,NA,3.19E-05
ZNF391,P_FPP_D11,ASD,Wald ratio,1,0.928,6.80E-03,NA,NA,NA,0.232868612
ZFYVE28,Sert_D52_ROT,ASD,Wald ratio,1,1.128,6.82E-03,NA,NA,NA,0.206039506
PPARGC1A,OPCs / COPs,ASD,Wald ratio,1,0.869,6.83E-03,NA,NA,NA,9.52E-05
GPR63,Excitatory neurons,ASD,Wald ratio,1,1.188,6.85E-03,NA,NA,NA,0.00202702
