"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"POGZ","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.032,0.036,1.032,0.373,NA,NA,NA,0.010765602
"SRD5A3","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.022,0.025,0.978,0.373,NA,NA,NA,0.007358201
"LINC00475","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.032,0.036,0.969,0.374,NA,NA,NA,1.79e-05
"INTS8","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.021,0.024,0.979,0.374,NA,NA,NA,0.014362186
"PLA2G7","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",2,0.013,0.014,1.013,0.375,NA,0.766181286,NA,0.004498946
"PDZD8","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.05,0.056,1.051,0.375,NA,NA,NA,0.0052281
"FBXO27","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.016,0.017,1.016,0.375,NA,NA,NA,0.007116953
"CCDC92","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.056,0.063,0.946,0.376,NA,NA,NA,0.001565186
"CLGN","Brain Cerebellar Hemisphere","ADHD","Inverse variance weighted",3,0.02,0.023,1.02,0.376,0.330573368,0.619338328,0.931823782,0.00219301
"CTU1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.032,0.037,0.968,0.377,NA,NA,NA,0.001522054
"SYTL1","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.02,0.022,1.02,0.377,NA,NA,NA,0.016636891
"ACTR1B","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,-0.023,0.026,0.977,0.377,NA,NA,NA,0.000132424
"CARD19","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.021,0.023,1.021,0.377,NA,NA,NA,0.00868131
"TARS1-DT","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.013,0.015,1.013,0.377,NA,NA,NA,0.008103104
"PEPD","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.02,0.023,1.021,0.378,NA,NA,NA,0.006876457
"DPY19L3-DT","Brain Cerebellar Hemisphere","ADHD","Wald ratio",1,0.019,0.022,1.019,0.378,NA,NA,NA,0.007438781
