Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
LINC01579,Brain Cortex,OCD,Wald ratio,1,0.06,0.112,1.061,0.594,NA,NA,NA,0.021477908
ITGA7,Brain Cortex,OCD,Wald ratio,1,-0.041,0.077,0.96,0.595,NA,NA,NA,0.018496063
FLRT2,Brain Cortex,OCD,Wald ratio,1,-0.093,0.175,0.912,0.596,NA,NA,NA,0.033278623
GRIN2B,Brain Cortex,OCD,Wald ratio,1,-0.018,0.034,0.982,0.596,NA,NA,NA,0.03313945
LINC00551,Brain Cortex,OCD,Wald ratio,1,0.044,0.084,1.045,0.598,NA,NA,NA,0.01500662
TNC,Brain Cortex,OCD,Wald ratio,1,0.077,0.145,1.08,0.598,NA,NA,NA,0.031150299
VASH1,Brain Cortex,OCD,Wald ratio,1,-0.05,0.096,0.951,0.6,NA,NA,NA,0.014920581
TMC6,Brain Cortex,OCD,Wald ratio,1,-0.035,0.07,0.965,0.611,NA,NA,NA,0.02633243
ENSG00000260661,Brain Cortex,OCD,Wald ratio,1,0.056,0.11,1.058,0.612,NA,NA,NA,0.018068522
PARD3,Brain Cortex,OCD,Wald ratio,1,-0.032,0.064,0.968,0.612,NA,NA,NA,0.035865472
GRIK4,Brain Cortex,OCD,Wald ratio,1,-0.025,0.049,0.976,0.613,NA,NA,NA,0.01320517
PCBP1-AS1,Brain Cortex,OCD,Wald ratio,1,0.078,0.154,1.081,0.614,NA,NA,NA,0.027524878
DGKZ,Brain Cortex,OCD,Wald ratio,1,-0.355,0.717,0.701,0.62,NA,NA,NA,0.035403
ZBTB4,Brain Cortex,OCD,Wald ratio,1,0.055,0.112,1.057,0.62,NA,NA,NA,0.017128909
FPGS,Brain Cortex,OCD,Wald ratio,1,0.052,0.105,1.053,0.621,NA,NA,NA,0.015338604
TRPC4,Brain Cortex,OCD,Wald ratio,1,-0.037,0.075,0.964,0.624,NA,NA,NA,0.283762031
EBNA1BP2,Brain Cortex,OCD,Wald ratio,1,-0.031,0.063,0.97,0.626,NA,NA,NA,0.026285568
ENSG00000276241,Brain Cortex,OCD,Wald ratio,1,0.062,0.127,1.064,0.626,NA,NA,NA,0.024140916
C17orf50,Brain Cortex,OCD,Wald ratio,1,0.072,0.147,1.074,0.626,NA,NA,NA,0.027440907
CPXM2,Brain Cortex,OCD,Wald ratio,1,-0.057,0.117,0.945,0.627,NA,NA,NA,0.01819753
TMEM117,Brain Cortex,OCD,Wald ratio,1,0.056,0.115,1.057,0.628,NA,NA,NA,0.023226313
TC2N,Brain Cortex,OCD,Wald ratio,1,0.035,0.072,1.035,0.628,NA,NA,NA,0.014369585
TJP1,Brain Cortex,OCD,Wald ratio,1,-0.056,0.119,0.945,0.636,NA,NA,NA,0.018552297
SMC5,Brain Cortex,OCD,Wald ratio,1,-0.103,0.218,0.903,0.637,NA,NA,NA,0.064205562
DEF8,Brain Cortex,OCD,Wald ratio,1,-0.06,0.127,0.942,0.638,NA,NA,NA,0.019084402
BANP,Brain Cortex,OCD,Wald ratio,1,-0.02,0.042,0.98,0.638,NA,NA,NA,0.016257469
CENPJ,Brain Cortex,OCD,Wald ratio,1,0.023,0.049,1.023,0.639,NA,NA,NA,0.014375294
ABCC8,Brain Cortex,OCD,Wald ratio,1,-0.036,0.076,0.965,0.639,NA,NA,NA,0.037257126
