"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"THADA","Brain","ED","Wald ratio",1,"-0.040","0.078","0.961","6.10e-01",NA,NA,NA,0.013741409
"TRMT61A","Brain","ED","Wald ratio",1," 0.029","0.056","1.029","6.10e-01",NA,NA,NA,0.00860457
"GSTP1","Brain","ED","Wald ratio",1,"-0.015","0.030","0.985","6.12e-01",NA,NA,NA,0.007653662
"TMTC4","Brain","ED","Wald ratio",1,"-0.022","0.044","0.978","6.12e-01",NA,NA,NA,0.011340995
"ENSG00000250195","Brain","ED","Wald ratio",1," 0.010","0.020","1.010","6.12e-01",NA,NA,NA,0.008314784
"HFM1","Brain","ED","Wald ratio",1,"-0.028","0.056","0.972","6.12e-01",NA,NA,NA,0.016750186
"TTC7B","Brain","ED","Inverse variance weighted",3,"-0.020","0.040","0.980","6.15e-01",0.041540342,0.119544493,0.904796469,0.010337588
"CCDC88C","Brain","ED","Inverse variance weighted",2,"-0.044","0.088","0.957","6.16e-01",NA,0.008535728,NA,0.291045333
"TACC2","Brain","ED","Wald ratio",1," 0.036","0.072","1.037","6.17e-01",NA,NA,NA,0.007549862
"ETFB","Brain","ED","Wald ratio",1," 0.045","0.091","1.046","6.19e-01",NA,NA,NA,0.016040287
"PATJ","Brain","ED","Wald ratio",1,"-0.051","0.104","0.950","6.22e-01",NA,NA,NA,0.018042299
"CDHR4","Brain","ED","Wald ratio",1," 0.019","0.038","1.019","6.23e-01",NA,NA,NA,0.009731568
"RSPO2","Brain","ED","Wald ratio",1," 0.017","0.035","1.017","6.24e-01",NA,NA,NA,0.008852608
"DNAAF5","Brain","ED","Wald ratio",1,"-0.020","0.042","0.980","6.24e-01",NA,NA,NA,0.008521688
"NAXD","Brain","ED","Wald ratio",1," 0.025","0.051","1.025","6.26e-01",NA,NA,NA,0.010579467
"LINC01725","Brain","ED","Wald ratio",1,"-0.070","0.144","0.933","6.28e-01",NA,NA,NA,0.023758607
"GGH","Brain","ED","Wald ratio",1,"-0.027","0.056","0.973","6.29e-01",NA,NA,NA,0.008496006
"STX6","Brain","ED","Wald ratio",1," 0.012","0.025","1.012","6.33e-01",NA,NA,NA,0.007544127
"TNFAIP2","Brain","ED","Wald ratio",1," 0.019","0.041","1.020","6.34e-01",NA,NA,NA,0.009061308
"KCNS3","Brain","ED","Wald ratio",1,"-0.011","0.023","0.989","6.37e-01",NA,NA,NA,0.00796077
"C14orf132","Brain","ED","Wald ratio",1,"-0.080","0.170","0.923","6.37e-01",NA,NA,NA,0.026036277
"CCDC85C","Brain","ED","Wald ratio",1," 0.023","0.050","1.024","6.38e-01",NA,NA,NA,0.007517817
"PI4KA","Brain","ED","Wald ratio",1," 0.017","0.036","1.017","6.41e-01",NA,NA,NA,0.009669467
"CPMER","Brain","ED","Wald ratio",1," 0.022","0.048","1.022","6.43e-01",NA,NA,NA,0.007603117
"RRM1","Brain","ED","Wald ratio",1,"-0.017","0.037","0.983","6.43e-01",NA,NA,NA,0.007492471
