"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"DPP6","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.011","0.031","0.989","7.13e-01",NA,NA,NA,0.00876645
"HDAC4","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.009","0.026","0.991","7.13e-01",NA,NA,NA,0.009752089
"DSCAM","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.011","0.029","1.011","7.14e-01",NA,NA,NA,0.007931834
"HS1BP3","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.012","0.032","0.989","7.17e-01",NA,NA,NA,0.007866811
"ZNF16","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.006","0.017","0.994","7.17e-01",NA,NA,NA,0.009165037
"MYT1L","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.012","0.033","1.012","7.19e-01",NA,NA,NA,0.007276919
"AP2A2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.014","0.040","1.014","7.23e-01",NA,NA,NA,0.007727833
"SORCS2","Brain Prefrontal cortex","PTSD","Simple mode",3,"-0.011","0.028","0.989","7.24e-01",0.751405785,0.473476563,0.447266548,0.00939751
"GRTP1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.007","0.019","1.007","7.26e-01",NA,NA,NA,0.008558548
"RNASEH2A","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.008","0.022","1.008","7.28e-01",NA,NA,NA,0.008294861
"ABCB8","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.012","0.034","0.988","7.28e-01",NA,NA,NA,0.012271067
"ZDHHC20","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.005","0.015","0.995","7.29e-01",NA,NA,NA,0.007876335
"SPATC1L","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.007","0.021","1.007","7.30e-01",NA,NA,NA,0.00926422
"GRID2","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.010","0.030","1.010","7.34e-01",NA,NA,NA,0.008012681
"TECPR1","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.016","0.048","1.016","7.37e-01",NA,NA,NA,0.011720126
"CBFA2T3","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.010","0.031","0.990","7.41e-01",NA,NA,NA,0.010849418
"CHST13","Brain Prefrontal cortex","PTSD","Wald ratio",1," 0.012","0.036","1.012","7.43e-01",NA,NA,NA,0.00774074
"PID1","Brain Prefrontal cortex","PTSD","Wald ratio",1,"-0.014","0.046","0.986","7.55e-01",NA,NA,NA,0.011438171
