Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
XPOT,BannerBBDP,ASD,Inverse variance weighted,2,2.013,0.894,7.483,0.0243,NA,0.990546834,NA,3.02E-07
POGZ,BannerBBDP,ASD,Inverse variance weighted,2,2.569,1.143,13.054,0.0246,NA,0.696228471,NA,1.16E-06
ARHGH,BannerBBDP,ASD,Inverse variance weighted,3,1.145,0.51,3.141,0.0247,0.986836074,0.962881505,0.829419223,1.38E-06
LMNB1,BannerBBDP,ASD,Inverse variance weighted,4,1.484,0.661,4.412,0.0248,0.160779862,0.176201513,0.489983292,4.27E-08
TMUB1,BannerBBDP,ASD,Inverse variance weighted,4,-1.933,0.863,0.145,0.0251,0.821435807,0.904025579,0.71766532,1.34E-06
EFNB3,BannerBBDP,ASD,Inverse variance weighted,3,-1.379,0.616,0.252,0.0251,0.150250187,0.348263643,0.912189329,1.78E-06
ULK3,BannerBBDP,ASD,Wald ratio,1,-0.37,0.165,0.691,0.0251,NA,NA,NA,0.079046816
CPLX3,BannerBBDP,ASD,Wald ratio,1,4.932,2.202,138.683,0.0251,NA,NA,NA,8.40E-07
CSK,BannerBBDP,ASD,Wald ratio,1,-13.517,6.036,0,0.0251,NA,NA,NA,4.05E-07
SCAM2,BannerBBDP,ASD,Wald ratio,1,1.959,0.875,7.093,0.0251,NA,NA,NA,5.21E-06
COX5A,BannerBBDP,ASD,Wald ratio,1,-5.316,2.374,0.005,0.0251,NA,NA,NA,4.85E-07
MPI,BannerBBDP,ASD,Wald ratio,1,0.634,0.283,1.885,0.0251,NA,NA,NA,0.079046816
RMD5A,BannerBBDP,ASD,Wald ratio,1,3.824,1.709,45.807,0.0253,NA,NA,NA,1.62E-06
RASK,BannerBBDP,ASD,Inverse variance weighted,4,1.325,0.592,3.761,0.0253,0.86599828,0.541893606,0.305631334,1.28E-07
5NTC,BannerBBDP,ASD,Wald ratio,1,-0.757,0.338,0.469,0.0254,NA,NA,NA,1.81E-06
CNNM2,BannerBBDP,ASD,Wald ratio,1,-7.452,3.334,0.001,0.0254,NA,NA,NA,0.009613125
PPID,BannerBBDP,ASD,Wald ratio,1,0.215,0.096,1.24,0.0254,NA,NA,NA,0.085727157
MA1A2,BannerBBDP,ASD,Inverse variance weighted,4,1.164,0.521,3.202,0.0254,0.599694535,0.768145014,0.767440066,1.53E-06
UB2V2,BannerBBDP,ASD,Inverse variance weighted,3,5.124,2.293,168.007,0.0254,0.495792378,0.587153161,0.580171967,5.04E-07
COX6C,BannerBBDP,ASD,Wald ratio,1,-7.364,3.307,0.001,0.0259,NA,NA,NA,1.61E-06
MOT2,BannerBBDP,ASD,Inverse variance weighted,2,-0.674,0.303,0.51,0.026,NA,0.639635613,NA,1.39E-07
RFC1,BannerBBDP,ASD,Inverse variance weighted,2,1.217,0.547,3.378,0.0262,NA,0.247735474,NA,1.43E-07
AL1A1,BannerBBDP,ASD,Inverse variance weighted,3,0.64,0.289,1.897,0.0266,0.731384313,0.881410212,0.776129072,1.26E-06
FBXL4,BannerBBDP,ASD,Inverse variance weighted,2,0.515,0.233,1.674,0.0273,NA,0.354358944,NA,7.26E-05
OSBL2,BannerBBDP,ASD,Inverse variance weighted,2,6.62,3,749.623,0.0274,NA,0.29426694,NA,1.40E-07
SNX32,BannerBBDP,ASD,Inverse variance weighted,2,-0.296,0.134,0.743,0.0274,NA,0.512578531,NA,6.64E-07
SIAE,BannerBBDP,ASD,Inverse variance weighted,4,0.555,0.252,1.741,0.0276,0.998564127,0.952316963,0.620147972,9.87E-08
