"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"KCNMB2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.051","0.029","0.950","7.68e-02",NA,NA,NA,0.023219132
"TEX29","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.022","0.012","0.979","7.74e-02",NA,NA,NA,0.021771063
"C19orf12","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.049","0.028","0.952","8.17e-02",NA,NA,NA,0.024695229
"CNTN5","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.032","0.018","0.969","8.27e-02",NA,NA,NA,0.021304166
"TC2N","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.037","0.021","0.964","8.30e-02",NA,NA,NA,0.020295012
"ANKRD36B","Brain Prefrontal cortex","BP","Wald ratio",1," 0.021","0.012","1.021","8.39e-02",NA,NA,NA,0.022298872
"BCAR1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.038","0.022","1.039","8.87e-02",NA,NA,NA,0.019532942
"FRY","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.025","0.015","0.975","9.38e-02",NA,NA,NA,0.02253875
"LCLAT1","Brain Prefrontal cortex","BP","Wald ratio",1," 0.041","0.024","1.042","9.39e-02",NA,NA,NA,0.021864702
"MEIS1","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.042","0.025","0.959","9.55e-02",NA,NA,NA,0.01985439
"DISP3","Brain Prefrontal cortex","BP","Wald ratio",1," 0.032","0.019","1.032","9.65e-02",NA,NA,NA,0.026674177
"ASAP2","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.028","0.018","0.972","1.05e-01",NA,NA,NA,0.01757525
"SV2B","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.029","0.018","0.971","1.08e-01",NA,NA,NA,0.016730236
"ZFP37","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.026","0.016","0.975","1.10e-01",NA,NA,NA,0.02212556
"CFAP46","Brain Prefrontal cortex","BP","Inverse variance weighted",2," 0.026","0.016","1.026","1.10e-01",NA,0.850334885,NA,0.007920501
"ZNF415","Brain Prefrontal cortex","BP","Wald ratio",1," 0.025","0.015","1.025","1.10e-01",NA,NA,NA,0.021566215
"ABR","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.020","0.012","0.980","1.12e-01",NA,NA,NA,0.02631046
"ANO2","Brain Prefrontal cortex","BP","Wald ratio",1," 0.022","0.014","1.022","1.14e-01",NA,NA,NA,0.016757419
"PTPRM","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.039","0.025","0.962","1.15e-01",NA,NA,NA,0.016486312
"EIF4E3","Brain Prefrontal cortex","BP","Wald ratio",1,"-0.020","0.012","0.981","1.16e-01",NA,NA,NA,0.016498411
