"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"DYSF","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.114","0.084","0.892","1.71e-01",NA,NA,NA,0.039284882
"DNAH1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.096","0.070","0.909","1.73e-01",NA,NA,NA,0.047439144
"PTPRM","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.095","0.070","0.909","1.73e-01",NA,NA,NA,0.032810157
"NAV2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.084","0.062","0.920","1.75e-01",NA,NA,NA,0.045556594
"MOCS1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.082","0.061","0.921","1.79e-01",NA,NA,NA,0.028343826
"CKMT2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.085","0.064","0.918","1.80e-01",NA,NA,NA,0.025312423
"TRIML1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.093","0.071","0.911","1.87e-01",NA,NA,NA,0.03556582
"SORCS3","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.059","0.045","0.943","1.89e-01",NA,NA,NA,0.032647889
"LY96","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.156","0.120","1.169","1.92e-01",NA,NA,NA,0.041701311
"ANKLE2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.050","0.038","0.952","1.95e-01",NA,NA,NA,0.03108175
"FRAS1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.070","0.054","1.073","1.97e-01",NA,NA,NA,0.032635328
"NCOA7","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.079","0.061","1.082","1.98e-01",NA,NA,NA,0.028390359
"CSGALNACT1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.067","0.052","1.069","1.98e-01",NA,NA,NA,0.028395252
"ZFP37","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.057","0.045","1.059","2.03e-01",NA,NA,NA,0.036931188
"TEC","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.056","0.044","1.058","2.03e-01",NA,NA,NA,0.032173733
"NTM","Brain Prefrontal cortex","ANX","Weighted median",3," 0.039","0.031","1.040","2.10e-01",0.707936702,0.392536483,0.413844163,0.020383695
"CTDP1","Brain Prefrontal cortex","ANX","Inverse variance weighted",2,"-0.054","0.044","0.947","2.13e-01",NA,0.081495093,NA,0.233216887
"RNF141","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.282","0.227","0.755","2.15e-01",NA,NA,NA,0.044199203
"SLC38A10","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.096","0.078","1.101","2.17e-01",NA,NA,NA,0.030319084
"ZNF827","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.053","0.043","1.054","2.21e-01",NA,NA,NA,0.029156143
"ALDH16A1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.057","0.047","1.059","2.22e-01",NA,NA,NA,0.034209007
"ADARB2","Brain Prefrontal cortex","ANX","Weighted median",5,"-0.028","0.023","0.972","2.23e-01",0.403921671,0.554852791,0.776395971,0.029691734
"MDGA1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.108","0.089","0.897","2.25e-01",NA,NA,NA,0.044450253
"COL5A2","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.088","0.072","0.916","2.25e-01",NA,NA,NA,0.035205848
"CBFA2T3","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.081","0.067","0.922","2.26e-01",NA,NA,NA,0.042254279
"FAM174B","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.053","0.044","0.948","2.28e-01",NA,NA,NA,0.044558436
"COL22A1","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.081","0.067","0.923","2.28e-01",NA,NA,NA,0.032996793
"SCG3","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.070","0.058","1.072","2.30e-01",NA,NA,NA,0.026754561
"SLC27A1","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.083","0.069","1.086","2.30e-01",NA,NA,NA,0.032705617
"TRHDE","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.093","0.078","0.911","2.33e-01",NA,NA,NA,0.027477446
"PI4KA","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.090","0.076","1.094","2.34e-01",NA,NA,NA,0.027771305
"SCD5","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.081","0.068","1.084","2.37e-01",NA,NA,NA,0.027632715
"NXN","Brain Prefrontal cortex","ANX","Inverse variance weighted",2," 0.040","0.034","1.041","2.37e-01",NA,0.866470063,NA,0.031504499
"SPATC1L","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.048","0.040","0.953","2.39e-01",NA,NA,NA,0.032095623
"FOXN3","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.068","0.057","1.070","2.40e-01",NA,NA,NA,0.025959171
"PAM","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.067","0.057","0.935","2.41e-01",NA,NA,NA,0.022852381
"C19orf12","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.105","0.090","1.110","2.46e-01",NA,NA,NA,0.032540325
"TBATA","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.073","0.063","1.076","2.48e-01",NA,NA,NA,0.027710326
"THSD4","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.074","0.065","0.928","2.50e-01",NA,NA,NA,0.029666843
"SLC7A11","Brain Prefrontal cortex","ANX","Wald ratio",1,"-0.085","0.075","0.918","2.52e-01",NA,NA,NA,0.044709219
"ACTN2","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.041","0.036","1.042","2.54e-01",NA,NA,NA,0.032431182
"XKR4","Brain Prefrontal cortex","ANX","Wald ratio",1," 0.045","0.040","1.046","2.60e-01",NA,NA,NA,0.026924942
"NTM","Brain Prefrontal cortex","ANX","Inverse variance weighted",3," 0.030","0.027","1.030","2.61e-01",0.707936702,0.392536483,0.413844163,0.020383695
