"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"LINC00467","Brain","ANX","Wald ratio",1,"-0.585","0.538","0.557","2.76e-01",NA,NA,NA,0.090672173
"ACOX3","Brain","ANX","Wald ratio",1,"-0.068","0.063","0.934","2.78e-01",NA,NA,NA,0.023224435
"ENSG00000285847","Brain","ANX","Wald ratio",1," 0.094","0.086","1.098","2.78e-01",NA,NA,NA,0.02639169
"ENSG00000269758","Brain","ANX","Wald ratio",1,"-0.081","0.075","0.922","2.79e-01",NA,NA,NA,0.028902714
"EIF3D","Brain","ANX","Wald ratio",1,"-0.101","0.093","0.904","2.80e-01",NA,NA,NA,0.02731879
"CUEDC1","Brain","ANX","Wald ratio",1,"-0.137","0.127","0.872","2.82e-01",NA,NA,NA,0.031751252
"BORCS7","Brain","ANX","Wald ratio",1,"-0.067","0.062","0.936","2.83e-01",NA,NA,NA,0.02743045
"ENSG00000272305","Brain","ANX","Wald ratio",1,"-0.082","0.076","0.922","2.83e-01",NA,NA,NA,0.025394913
"ATF7IP","Brain","ANX","Wald ratio",1,"-0.086","0.081","0.917","2.85e-01",NA,NA,NA,0.022413146
"USP16","Brain","ANX","Wald ratio",1," 0.071","0.066","1.073","2.86e-01",NA,NA,NA,0.027402578
"TOLLIP","Brain","ANX","Wald ratio",1,"-0.322","0.303","0.725","2.88e-01",NA,NA,NA,0.066330863
"ENSG00000242880","Brain","ANX","Wald ratio",1," 0.124","0.117","1.132","2.88e-01",NA,NA,NA,0.038714178
"HBZ","Brain","ANX","Wald ratio",1," 0.149","0.141","1.161","2.89e-01",NA,NA,NA,0.034728554
"EPHB4","Brain","ANX","Wald ratio",1," 0.128","0.121","1.136","2.92e-01",NA,NA,NA,0.027424536
"CANX","Brain","ANX","Wald ratio",1,"-0.335","0.319","0.715","2.94e-01",NA,NA,NA,0.065876472
"SZT2","Brain","ANX","Wald ratio",1,"-0.080","0.076","0.924","2.94e-01",NA,NA,NA,0.02220841
"LINC02457","Brain","ANX","Wald ratio",1,"-0.052","0.050","0.949","2.95e-01",NA,NA,NA,0.022949273
"PLEKHN1","Brain","ANX","Wald ratio",1," 0.168","0.162","1.183","2.97e-01",NA,NA,NA,0.053571276
"PKD2L2","Brain","ANX","Wald ratio",1," 0.077","0.074","1.080","2.97e-01",NA,NA,NA,0.027100283
"CAPN14","Brain","ANX","Wald ratio",1,"-0.148","0.142","0.862","2.98e-01",NA,NA,NA,0.03118056
"PCSK6","Brain","ANX","Wald ratio",1,"-0.194","0.187","0.823","2.98e-01",NA,NA,NA,0.044376422
"ENSG00000287402","Brain","ANX","Wald ratio",1,"-0.124","0.119","0.884","2.98e-01",NA,NA,NA,0.031797507
"YEATS4","Brain","ANX","Wald ratio",1,"-0.067","0.065","0.935","3.01e-01",NA,NA,NA,0.021579611
"ARHGAP28","Brain","ANX","Wald ratio",1,"-0.064","0.062","0.938","3.02e-01",NA,NA,NA,0.022917406
"PIEZO2","Brain","ANX","Wald ratio",1," 0.095","0.092","1.100","3.03e-01",NA,NA,NA,0.024095221
"MGLL","Brain","ANX","Wald ratio",1," 0.449","0.436","1.566","3.03e-01",NA,NA,NA,0.077598442
"GSTP1","Brain","ANX","Wald ratio",1,"-0.061","0.059","0.941","3.03e-01",NA,NA,NA,0.022317998
"ENSG00000290870","Brain","ANX","Wald ratio",1," 0.167","0.163","1.182","3.06e-01",NA,NA,NA,0.071947817
"SLC16A12","Brain","ANX","Wald ratio",1," 0.124","0.121","1.132","3.07e-01",NA,NA,NA,0.025464057
"GALNT17","Brain","ANX","Wald ratio",1,"-0.106","0.104","0.899","3.07e-01",NA,NA,NA,0.023269052
"TSPYL5","Brain","ANX","Wald ratio",1,"-0.091","0.089","0.913","3.09e-01",NA,NA,NA,0.023043318
"ENSG00000288588","Brain","ANX","Wald ratio",1," 0.348","0.343","1.416","3.11e-01",NA,NA,NA,0.074845817
"YEATS2","Brain","ANX","Wald ratio",1,"-0.102","0.101","0.903","3.11e-01",NA,NA,NA,0.023996232
"ADARB2","Brain","ANX","Wald ratio",1,"-0.076","0.075","0.927","3.12e-01",NA,NA,NA,0.021848237
"BOC","Brain","ANX","Wald ratio",1,"-0.130","0.129","0.878","3.12e-01",NA,NA,NA,0.028948812
"PDCD6","Brain","ANX","Wald ratio",1," 0.346","0.343","1.414","3.13e-01",NA,NA,NA,0.071002983
"FRAS1","Brain","ANX","Wald ratio",1," 0.132","0.132","1.142","3.15e-01",NA,NA,NA,0.028519393
"RMDN3","Brain","ANX","Wald ratio",1,"-0.039","0.039","0.961","3.16e-01",NA,NA,NA,0.021245411
"CNDP2","Brain","ANX","Wald ratio",1,"-0.099","0.099","0.905","3.16e-01",NA,NA,NA,0.021693542
