Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
SMAD6,Brain Cortex,SCZ,Wald ratio,1,0.027,0.019,1.027,0.169,NA,NA,NA,0.011171308
LINC01500,Brain Cortex,SCZ,Wald ratio,1,0.023,0.017,1.024,0.169,NA,NA,NA,0.004846232
DYRK4,Brain Cortex,SCZ,Wald ratio,1,-0.022,0.016,0.978,0.169,NA,NA,NA,0.01116028
BORCS5,Brain Cortex,SCZ,Wald ratio,1,0.05,0.037,1.052,0.169,NA,NA,NA,0.016457934
ATP11A,Brain Cortex,SCZ,Wald ratio,1,-0.024,0.018,0.976,0.17,NA,NA,NA,0.006627093
FGF14,Brain Cortex,SCZ,Wald ratio,1,0.022,0.016,1.023,0.172,NA,NA,NA,0.01129448
ARHGEF7,Brain Cortex,SCZ,Wald ratio,1,0.128,0.094,1.137,0.172,NA,NA,NA,0.044670486
SYNE3,Brain Cortex,SCZ,Wald ratio,1,-0.033,0.024,0.968,0.172,NA,NA,NA,0.006809286
LRRC23,Brain Cortex,SCZ,Wald ratio,1,0.046,0.034,1.047,0.173,NA,NA,NA,0.011984991
PRUNE2,Brain Cortex,SCZ,Wald ratio,1,0.022,0.016,1.022,0.173,NA,NA,NA,0.010992246
FSIP1,Brain Cortex,SCZ,Wald ratio,1,0.032,0.023,1.032,0.174,NA,NA,NA,0.010701309
VAV2,Brain Cortex,SCZ,Wald ratio,1,-0.061,0.045,0.941,0.174,NA,NA,NA,0.004635843
LINC00485,Brain Cortex,SCZ,Wald ratio,1,-0.043,0.032,0.958,0.175,NA,NA,NA,0.010765088
NAALAD2,Brain Cortex,SCZ,Wald ratio,1,0.024,0.017,1.024,0.175,NA,NA,NA,0.011127412
LINC00595,Brain Cortex,SCZ,Wald ratio,1,0.017,0.013,1.017,0.175,NA,NA,NA,0.021868637
PGAP2,Brain Cortex,SCZ,Wald ratio,1,-0.042,0.031,0.958,0.176,NA,NA,NA,0.017563206
THSD4,Brain Cortex,SCZ,Wald ratio,1,0.043,0.032,1.044,0.176,NA,NA,NA,0.010830684
ASTN2,Brain Cortex,SCZ,Wald ratio,1,-0.024,0.018,0.977,0.176,NA,NA,NA,0.005256901
MTCL1,Brain Cortex,SCZ,Wald ratio,1,-0.019,0.014,0.981,0.179,NA,NA,NA,0.007021341
OR5A2,Brain Cortex,SCZ,Wald ratio,1,-0.019,0.014,0.981,0.179,NA,NA,NA,0.011658133
CMKLR1,Brain Cortex,SCZ,Wald ratio,1,-0.029,0.022,0.971,0.18,NA,NA,NA,0.011028071
ENSG00000224713,Brain Cortex,SCZ,Wald ratio,1,-0.043,0.032,0.958,0.18,NA,NA,NA,0.010667587
NAV3,Brain Cortex,SCZ,Wald ratio,1,-0.065,0.048,0.937,0.181,NA,NA,NA,0.004690437
PRR5-ARHGAP8,Brain Cortex,SCZ,Wald ratio,1,-0.021,0.016,0.979,0.181,NA,NA,NA,0.011437973
ZBTB16,Brain Cortex,SCZ,Wald ratio,1,-0.016,0.012,0.984,0.182,NA,NA,NA,0.010446956
ENSG00000286344,Brain Cortex,SCZ,Wald ratio,1,-0.021,0.016,0.979,0.182,NA,NA,NA,0.015361344
BICD1,Brain Cortex,SCZ,Inverse variance weighted,2,0.017,0.013,1.018,0.183,NA,0.821704937,NA,0.007845439
NRL,Brain Cortex,SCZ,Wald ratio,1,-0.018,0.013,0.983,0.184,NA,NA,NA,0.011219022
EPHB2,Brain Cortex,SCZ,Wald ratio,1,0.024,0.018,1.024,0.184,NA,NA,NA,0.014302295
SHROOM3,Brain Cortex,SCZ,Wald ratio,1,0.047,0.036,1.049,0.184,NA,NA,NA,0.013657073
SPTB,Brain Cortex,SCZ,Wald ratio,1,0.047,0.036,1.049,0.184,NA,NA,NA,0.106823236
