Gene,Tissue,Psychiatric disorder,Method,Nsnp,Beta,SE,OR,P-value,Q_Pvalue(MREgger),Q_Pvalue(IVW),P-value(Intercept),PPH4
PLAC8L1,Brain Cortex,BP,Wald ratio,1,0.679,0.19,1.972,0.000359,NA,NA,NA,0.737119505
LARS,Brain Cortex,BP,Wald ratio,1,-0.056,0.016,0.945,0.000359,NA,NA,NA,0.744790698
KCNK15-AS1,Brain Cortex,BP,Wald ratio,1,-0.668,0.188,0.513,0.000382,NA,NA,NA,0.769461504
RP11-445H22.3,Brain Cortex,BP,Wald ratio,1,-0.18,0.051,0.836,0.000382,NA,NA,NA,0.769690636
HARS,Brain Cortex,BP,Wald ratio,1,0.145,0.041,1.156,0.000397,NA,NA,NA,0.825897422
TMEM179,Brain Cortex,BP,Wald ratio,1,-0.215,0.061,0.807,0.000416,NA,NA,NA,0.717411206
OLA1,Brain Cortex,BP,Wald ratio,1,-0.576,0.164,0.562,0.000433,NA,NA,NA,0.714212569
BBX,Brain Cortex,BP,Wald ratio,1,-0.133,0.038,0.875,0.000466,NA,NA,NA,0.678831331
CCDC91,Brain Cortex,BP,Wald ratio,1,0.137,0.039,1.147,0.000475,NA,NA,NA,0.690188009
RANBP1,Brain Cortex,BP,Wald ratio,1,0.321,0.092,1.378,0.000481,NA,NA,NA,0.701135433
TRMT2A,Brain Cortex,BP,Wald ratio,1,0.511,0.146,1.668,0.000481,NA,NA,NA,0.701135433
TANGO2,Brain Cortex,BP,Wald ratio,1,0.433,0.124,1.543,0.000481,NA,NA,NA,0.701135433
HARS1,Brain Cortex,BP,Inverse variance weighted,2,-0.206,0.059,0.813,0.000482,NA,0.439366715,NA,0.005638465
ZMIZ1,Brain Cortex,BP,Wald ratio,1,-0.212,0.061,0.809,0.000493,NA,NA,NA,0.66731336
MSH3,Brain Cortex,BP,Wald ratio,1,-0.518,0.149,0.596,0.000498,NA,NA,NA,0.694494562
DHFR,Brain Cortex,BP,Wald ratio,1,-0.19,0.055,0.827,0.000498,NA,NA,NA,0.694494569
LACC1,Brain Cortex,BP,Wald ratio,1,0.089,0.026,1.093,0.000557,NA,NA,NA,0.639160447
CCDC122,Brain Cortex,BP,Wald ratio,1,-0.401,0.116,0.67,0.000557,NA,NA,NA,0.639160447
PHC2,Brain Cortex,BP,Wald ratio,1,0.179,0.052,1.196,0.00057,NA,NA,NA,0.652448255
MTSS1L,Brain Cortex,BP,Wald ratio,1,-0.063,0.018,0.939,0.000611,NA,NA,NA,0.626431469
ZNF271P,Brain Cortex,BP,Wald ratio,1,0.348,0.102,1.417,0.000611,NA,NA,NA,0.626431469
VAC14,Brain Cortex,BP,Wald ratio,1,-0.551,0.161,0.577,0.000611,NA,NA,NA,0.626430809
STOML1,Brain Cortex,BP,Inverse variance weighted,2,-0.239,0.07,0.788,0.000653,NA,0.240318296,NA,0.307564616
TNFRSF14,Brain Cortex,BP,Wald ratio,1,-0.15,0.044,0.861,0.000675,NA,NA,NA,0.602238925
LMO7,Brain Cortex,BP,Weighted median,3,0.206,0.061,1.229,0.000693,0.508058625,0.366338319,0.428777225,0.049057192
DECR1,Brain Cortex,BP,Wald ratio,1,0.622,0.184,1.863,0.000713,NA,NA,NA,0.599363308
OSGIN2,Brain Cortex,BP,Wald ratio,1,0.396,0.117,1.486,0.000713,NA,NA,NA,0.599486909
RHOF,Brain Cortex,BP,Wald ratio,1,0.53,0.158,1.699,0.000772,NA,NA,NA,0.633447515
LINC01089,Brain Cortex,BP,Wald ratio,1,0.291,0.087,1.338,0.000772,NA,NA,NA,0.63345633
TDRD5,Brain Cortex,BP,Wald ratio,1,-0.085,0.025,0.919,0.000778,NA,NA,NA,0.575130362
LMO7,Brain Cortex,BP,Inverse variance weighted,3,0.189,0.056,1.208,0.000805,0.508058625,0.366338319,0.428777225,0.049057192
SAMD10,Brain Cortex,BP,Wald ratio,1,-0.262,0.078,0.77,0.000837,NA,NA,NA,0.558542336
ZNF512B,Brain Cortex,BP,Wald ratio,1,-0.187,0.056,0.829,0.000837,NA,NA,NA,0.558025334
RAPGEF4,Brain Cortex,BP,Wald ratio,1,-0.088,0.026,0.915,0.000848,NA,NA,NA,0.732344566
CWF19L1,Brain Cortex,BP,Wald ratio,1,-0.307,0.092,0.735,0.000878,NA,NA,NA,0.550043974
SPATS2L,Brain Cortex,BP,Wald ratio,1,-0.103,0.031,0.902,0.000891,NA,NA,NA,0.534152313
ARL3,Brain Cortex,BP,Wald ratio,1,-0.178,0.054,0.837,0.000928,NA,NA,NA,0.651880549
AIDA,Brain Cortex,BP,Wald ratio,1,0.349,0.106,1.418,0.000965,NA,NA,NA,0.540482811
MIA3,Brain Cortex,BP,Wald ratio,1,0.5,0.152,1.649,0.000965,NA,NA,NA,0.5404828
MTBP,Brain Cortex,BP,Wald ratio,1,0.178,0.054,1.194,0.000967,NA,NA,NA,0.532314714
MRPL13,Brain Cortex,BP,Wald ratio,1,-0.385,0.117,0.68,0.000967,NA,NA,NA,0.532794251
GALNT9,Brain Cortex,BP,Wald ratio,1,0.565,0.172,1.759,0.000994,NA,NA,NA,0.697302318
NDUFS2,Brain Cortex,BP,Wald ratio,1,0.729,0.222,2.072,0.00102,NA,NA,NA,0.707667765
NDFIP2,Brain Cortex,BP,Wald ratio,1,0.169,0.052,1.184,0.00107,NA,NA,NA,0.582354449
CREB1,Brain Cortex,BP,Wald ratio,1,0.542,0.166,1.719,0.0011,NA,NA,NA,0.542151951
METTL21A,Brain Cortex,BP,Wald ratio,1,0.095,0.029,1.099,0.0011,NA,NA,NA,0.542260678
SMIM19,Brain Cortex,BP,Wald ratio,1,0.159,0.049,1.173,0.00111,NA,NA,NA,0.491077198
SLC20A2,Brain Cortex,BP,Wald ratio,1,0.185,0.057,1.203,0.00111,NA,NA,NA,0.491075604
WAC-AS1,Brain Cortex,BP,Inverse variance weighted,4,-0.112,0.034,0.894,0.00118,0.424554521,0.245285086,0.258629571,0.009457963
