Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
JAKMIP2,Lymphocyte,ALZ,Wald ratio,1,1.033,1.48E-02,NA,NA,NA,0.104480837
CHN1,Lymphocyte,ALZ,Wald ratio,1,0.974,1.51E-02,NA,NA,NA,0.08565305
ATP1A2,Lymphocyte,ALZ,Wald ratio,1,1.03,1.53E-02,NA,NA,NA,0.100830812
ATP1A4,Lymphocyte,ALZ,Wald ratio,1,1.042,1.53E-02,NA,NA,NA,0.100820023
KLF15,Lymphocyte,ALZ,Wald ratio,1,0.616,1.55E-02,NA,NA,NA,0.086635721
PAPPA2,Lymphocyte,ALZ,Wald ratio,1,1.046,1.56E-02,NA,NA,NA,0.103640739
TIMD4,Lymphocyte,ALZ,Wald ratio,1,1.084,1.57E-02,NA,NA,NA,0.088403999
C3orf27,Lymphocyte,ALZ,Wald ratio,1,0.906,1.58E-02,NA,NA,NA,0.082968971
LOC220115,Lymphocyte,ALZ,Wald ratio,1,0.927,1.58E-02,NA,NA,NA,0.165483342
ATP7B,Lymphocyte,ALZ,Wald ratio,1,0.041,1.58E-02,NA,NA,NA,0.165481257
C3orf32,Lymphocyte,ALZ,Wald ratio,1,0.967,1.59E-02,NA,NA,NA,0.100733943
SH2D5,Lymphocyte,ALZ,Wald ratio,1,0.966,1.60E-02,NA,NA,NA,0.08296264
RPL14,Lymphocyte,ALZ,Wald ratio,1,7.002,1.60E-02,NA,NA,NA,0.086591617
ENTPD3,Lymphocyte,ALZ,Wald ratio,1,1.031,1.60E-02,NA,NA,NA,0.086591617
RASSF8,Lymphocyte,ALZ,Wald ratio,1,1.025,1.62E-02,NA,NA,NA,0.081140621
CIITA,Lymphocyte,ALZ,Wald ratio,1,1.313,1.66E-02,NA,NA,NA,0.091998432
COLEC11,Lymphocyte,ALZ,Wald ratio,1,1.04,1.69E-02,NA,NA,NA,0.11266758
OTX2,Lymphocyte,ALZ,Wald ratio,1,1.029,1.77E-02,NA,NA,NA,0.076485157
GLI4,Lymphocyte,ALZ,Wald ratio,1,1.027,1.78E-02,NA,NA,NA,0.075990121
ZFP41,Lymphocyte,ALZ,Wald ratio,1,1.052,1.78E-02,NA,NA,NA,0.075990121
RAB6B,Lymphocyte,ALZ,Wald ratio,1,0.968,1.80E-02,NA,NA,NA,0.090701112
CYFIP1,Lymphocyte,ALZ,Wald ratio,1,0.951,1.82E-02,NA,NA,NA,0.106480501
QPCT,Lymphocyte,ALZ,Wald ratio,1,1.036,1.87E-02,NA,NA,NA,0.080205551
THY1,Lymphocyte,ALZ,Wald ratio,1,0.87,1.89E-02,NA,NA,NA,0.080311799
SIK1,Lymphocyte,ALZ,Wald ratio,1,1.385,1.90E-02,NA,NA,NA,0.129926702
IMMP2L,Lymphocyte,ALZ,Inverse variance weighted,2,1.021,1.91E-02,NA,0.564037214,NA,0.046119609
XRCC3,Lymphocyte,ALZ,Wald ratio,1,1.031,1.91E-02,NA,NA,NA,0.072980044
KLC1,Lymphocyte,ALZ,Wald ratio,1,1.026,1.91E-02,NA,NA,NA,0.072980044
ILF3,Lymphocyte,ALZ,Wald ratio,1,1.401,1.91E-02,NA,NA,NA,0.074885492
ADH5,Lymphocyte,ALZ,Wald ratio,1,2.12,1.93E-02,NA,NA,NA,0.0750073
ANKRD40,Lymphocyte,ALZ,Wald ratio,1,0.931,1.93E-02,NA,NA,NA,0.078784401
CAPN14,Lymphocyte,ALZ,Wald ratio,1,1.034,1.96E-02,NA,NA,NA,0.0714482
LOC154449,Lymphocyte,ALZ,Wald ratio,1,1.043,1.99E-02,NA,NA,NA,0.090349506
CDC42EP3,Lymphocyte,ALZ,Wald ratio,1,0.603,2.00E-02,NA,NA,NA,0.067873097
DNALI1,Lymphocyte,ALZ,Wald ratio,1,1.071,2.00E-02,NA,NA,NA,0.067873097
CALML3,Lymphocyte,ALZ,Wald ratio,1,1.03,2.02E-02,NA,NA,NA,0.083305238
TRAF3,Lymphocyte,ALZ,Wald ratio,1,1.111,2.03E-02,NA,NA,NA,0.070103333
C3orf15,Lymphocyte,ALZ,Wald ratio,1,1.087,2.04E-02,NA,NA,NA,0.089080647
OR2L13,Lymphocyte,ALZ,Wald ratio,1,0.972,2.05E-02,NA,NA,NA,0.07217462
PNMA2,Lymphocyte,ALZ,Wald ratio,1,0.726,2.05E-02,NA,NA,NA,0.068331061
NFE2L3,Lymphocyte,ALZ,Wald ratio,1,0.876,2.07E-02,NA,NA,NA,0.078164887
PTGIS,Lymphocyte,ALZ,Wald ratio,1,1.052,2.10E-02,NA,NA,NA,0.10560824
GOLPH3,Lymphocyte,ALZ,Wald ratio,1,1.041,2.12E-02,NA,NA,NA,0.06706511
DYNC1LI1,Lymphocyte,ALZ,Wald ratio,1,2.818,2.13E-02,NA,NA,NA,0.101036853
