Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
PTSD,Body mass index (BMI) ,MR Egger,0.41891698,0.128480753,0.001199814,1.520314133,1.181866188,1.955682536,6.63E-60,1.01E-59,0.813425492
SCZ,Living alone,Inverse variance weighted,-1.997675222,0.619393789,0.001258802,0.135650274,0.040288587,0.456729761,0.000613497,0.000591425,0.212492766
ALZ,Qualifications: College or University degree ,Inverse variance weighted,-0.395428245,0.12271948,0.001272047,0.673391601,0.529427828,0.856502481,0.39439718,0.459025409,0.61001471
BP,Autoimmune diseases ,Inverse variance weighted,-0.074281946,0.023118861,0.001313356,0.928409895,0.887279789,0.9714466,0.936475234,0.910810335,0.166070761
ANX,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself ",Inverse variance weighted,17.39359731,5.425535136,0.001346516,35804971.48,862.252752,1.49E+12,NA,0.743116708,NA
ADHD,Type 2 diabetes ,Inverse variance weighted,0.064350026,0.020118931,0.001381535,1.066465624,1.025229942,1.109359843,2.95E-10,2.10E-11,0.021489974
SCZ,Trauma exposure ,Weighted median,0.290949054,0.090973179,0.001382955,1.337696432,1.119230755,1.598805015,0.012004512,0.016874844,0.618837049
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.831073584,1.851237691,0.001633686,340.7242789,9.048940777,12829.46116,0.572938675,0.151465487,0.040689839
ALZ,Intelligence ,Inverse variance weighted,-0.197138395,0.062734629,0.001675589,0.821076992,0.726077683,0.92850592,3.88E-09,4.32E-09,0.491761243
ED,Intelligence ,MR Egger,-1.459499094,0.457892285,0.001768204,0.232352632,0.094706942,0.570050563,1.44E-11,1.54E-11,0.454530892
PTSD,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,5.831073584,1.867016971,0.001788941,340.7242789,8.773364067,13232.44235,0.572938675,0.151465487,0.040689839
DEP,Extraversion,Inverse variance weighted,0.001935982,0.000621638,0.001843661,1.001937857,1.000717829,1.003159373,0.209564815,0.211052289,0.406035228
ASD,Qualifications: College or University degree ,Weighted median,0.687856626,0.220944543,0.001850363,1.989446832,1.29021042,3.067638141,0.299161324,0.311386341,0.634434752
ADHD,Maternal smoking around birth ,Simple mode,4.71817689,1.239962883,0.001931282,111.9639439,9.853725818,1272.201497,0.000455772,0.000101393,0.17534613
BP,Autoimmune diseases ,Weighted mode,-0.074267556,0.022415921,0.001934273,0.928423255,0.888515878,0.970123059,0.936475234,0.910810335,0.166070761
SCZ,Age-related hearing impairment (MTAG) ,Inverse variance weighted,-0.45753057,0.1480024,0.001992334,0.632844483,0.473494362,0.845822404,0.007861346,0.009801352,0.618456104
