Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
PKMP3,Brain Putamen basal ganglia,ED,Wald ratio,1,1.121,2.86E-04,NA,NA,NA,0.826847472
SNHG5,Brain Putamen basal ganglia,ED,Wald ratio,1,1.075,2.86E-04,NA,NA,NA,0.827069544
SNHG5,Brain Spinal cord cervical,ED,Wald ratio,1,1.059,2.86E-04,NA,NA,NA,0.827069544
SNHG5,Brain Substantia nigra,ED,Wald ratio,1,1.079,2.86E-04,NA,NA,NA,0.827069544
SNHG5,Meta 10 Brain Regions,ED,Wald ratio,1,0.952,2.86E-04,NA,NA,NA,0.827069528
PKMP3,Meta 10 Brain Regions,ED,Wald ratio,1,0.909,2.86E-04,NA,NA,NA,0.827059754
SLC43A1,Brain Amygdala,ED,Wald ratio,1,0.837,2.87E-04,NA,NA,NA,0.125139765
SLFNL1,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.827,3.12E-04,NA,NA,NA,0.275073997
SNHG5,Brain Cortex SMR,ED,Wald ratio,1,0.953,3.15E-04,NA,NA,NA,0.812736728
ZMAT4,Brain Cortex SMR,ED,Wald ratio,1,1.304,3.23E-04,NA,NA,NA,0.813801928
AC010857.1,Brain Cortex SMR,ED,Wald ratio,1,1.148,3.23E-04,NA,NA,NA,0.813994279
KNOP1,Brain Amygdala,ED,Wald ratio,1,1.074,3.34E-04,NA,NA,NA,0.843769036
ZCCHC2,Brain Cortex SMR,ED,Wald ratio,1,1.187,3.36E-04,NA,NA,NA,0.812623503
KNOP1,Brain Cortex,ED,Wald ratio,1,1.064,3.42E-04,NA,NA,NA,0.84843349
KDM4C,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.146,3.48E-04,NA,NA,NA,0.834008519
KCNK2,Brain Cortex SMR,ED,Wald ratio,1,1.328,3.65E-04,NA,NA,NA,0.801297855
MGMT,Brain Putamen basal ganglia,ED,Wald ratio,1,0.903,3.66E-04,NA,NA,NA,0.804021087
GLDC,Brain Cerebellum,ED,Wald ratio,1,1.123,3.70E-04,NA,NA,NA,0.819435823
DHFR2,Brain Amygdala,ED,Wald ratio,1,1.177,3.89E-04,NA,NA,NA,0.684928478
ENPP4,Brain Cortex SMR,ED,Wald ratio,1,0.927,4.08E-04,NA,NA,NA,0.782312642
ENPP5,Brain Cortex SMR,ED,Wald ratio,1,0.866,4.08E-04,NA,NA,NA,0.782312642
AL035701.1,Brain Cortex SMR,ED,Wald ratio,1,0.943,4.08E-04,NA,NA,NA,0.782312642
ENPP5,Brain Frontal Cortex,ED,Wald ratio,1,1.135,4.08E-04,NA,NA,NA,0.782309555
ENPP4,Brain Frontal Cortex,ED,Wald ratio,1,1.284,4.08E-04,NA,NA,NA,0.693833809
ENPP5,Brain Hippocampus,ED,Wald ratio,1,1.195,4.08E-04,NA,NA,NA,0.777883809
ENPP4,Brain Hippocampus,ED,Wald ratio,1,1.342,4.08E-04,NA,NA,NA,0.683975616
KNOP1,Brain Anterior cingulate cortex,ED,Wald ratio,1,1.065,4.16E-04,NA,NA,NA,0.817251684
