Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
LINC00472,Endothelial cells,DEP,Wald ratio,1,1.075,1.94E-03,NA,NA,NA,7.15E-05
HRASLS,OPCs / COPs,DEP,Wald ratio,1,1.042,1.98E-03,NA,NA,NA,0.002142442
C14orf132,Excitatory neurons,DEP,Wald ratio,1,1.093,2.06E-03,NA,NA,NA,4.59E-05
PHLPP1,Oligodendrocytes,DEP,Wald ratio,1,1.056,2.06E-03,NA,NA,NA,0.001295191
GALNT10,DA_D30,DEP,Wald ratio,1,1.019,2.06E-03,NA,NA,NA,0.219820666
GALNT10,DA_D52,DEP,Wald ratio,1,1.02,2.06E-03,NA,NA,NA,0.219829835
GALNT10,Sert_D52_ROT,DEP,Wald ratio,1,1.016,2.06E-03,NA,NA,NA,0.219842267
GALNT10,Sert_D30,DEP,Wald ratio,1,1.016,2.06E-03,NA,NA,NA,0.219615816
UBE3B,Sert_D30,DEP,Wald ratio,1,0.97,2.08E-03,NA,NA,NA,0.303452318
MMAB,DA_D30,DEP,Wald ratio,1,0.942,2.08E-03,NA,NA,NA,0.268104541
UBE3B,Astro_D52,DEP,Wald ratio,1,0.978,2.08E-03,NA,NA,NA,0.250665649
UBE3B,Epen1_D30,DEP,Wald ratio,1,0.963,2.08E-03,NA,NA,NA,0.286237347
UBE3B,Astro_D52_ROT,DEP,Wald ratio,1,0.974,2.08E-03,NA,NA,NA,0.18311785
UBE3B,P_FPP_D11,DEP,Wald ratio,1,0.982,2.08E-03,NA,NA,NA,0.303511606
UBE3B,FPP_D11,DEP,Wald ratio,1,0.982,2.08E-03,NA,NA,NA,0.303511606
UBE3B,Sert_D52,DEP,Wald ratio,1,0.98,2.08E-03,NA,NA,NA,0.303511605
UBE3B,Epen1_D52_ROT,DEP,Wald ratio,1,0.972,2.08E-03,NA,NA,NA,0.302924649
UBE3B,Sert_D52_ROT,DEP,Wald ratio,1,0.981,2.08E-03,NA,NA,NA,0.303511593
