Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
SLC25A10,Brain,BP,Wald ratio,1,0.951,6.90E-02,NA,NA,NA,0.029214379
RGS9,Brain,BP,Wald ratio,1,1.037,6.91E-02,NA,NA,NA,0.027737887
TRIM65,Brain,BP,Wald ratio,1,0.93,6.91E-02,NA,NA,NA,0.031550624
NAXD,Brain,BP,Wald ratio,1,1.066,7.00E-02,NA,NA,NA,0.032887864
MACF1,Brain,BP,Wald ratio,1,1.075,7.00E-02,NA,NA,NA,0.0264642
GREB1,Brain,BP,Wald ratio,1,0.942,7.27E-02,NA,NA,NA,0.028249035
CLEC18A,Brain,BP,Wald ratio,1,0.936,7.27E-02,NA,NA,NA,0.025926379
ANXA4,Brain,BP,Wald ratio,1,1.054,7.39E-02,NA,NA,NA,0.022584472
MAPT,Brain,BP,Wald ratio,1,0.96,7.43E-02,NA,NA,NA,0.027537279
BORCS7,Brain,BP,Wald ratio,1,1.037,7.43E-02,NA,NA,NA,0.025480728
GMDS-DT,Brain,BP,Wald ratio,1,1.042,7.43E-02,NA,NA,NA,0.022248768
CASC16,Brain,BP,Wald ratio,1,0.951,7.53E-02,NA,NA,NA,0.022474647
CNIH3,Brain,BP,Wald ratio,1,0.952,7.56E-02,NA,NA,NA,0.026265037
GALNT6,Brain,BP,Wald ratio,1,1.041,7.81E-02,NA,NA,NA,0.02493767
AGMO,Brain,BP,Wald ratio,1,1.065,8.05E-02,NA,NA,NA,0.021302961
ENSG00000289543,Brain,BP,Wald ratio,1,0.927,8.12E-02,NA,NA,NA,0.025878362
ENSG00000285726,Brain,BP,Wald ratio,1,1.068,8.20E-02,NA,NA,NA,0.025256272
PTPRM,Brain,BP,Wald ratio,1,0.957,8.24E-02,NA,NA,NA,0.020933224
TC2N,Brain,BP,Wald ratio,1,0.977,8.30E-02,NA,NA,NA,0.020596865
ENSG00000242880,Brain,BP,Wald ratio,1,0.939,8.36E-02,NA,NA,NA,0.032481737
PNPLA7,Brain,BP,Wald ratio,1,0.953,8.45E-02,NA,NA,NA,0.023424375
CAMKK1,Brain,BP,Wald ratio,1,0.951,8.70E-02,NA,NA,NA,0.021878382
PPFIA2,Brain,BP,Wald ratio,1,0.946,8.84E-02,NA,NA,NA,0.022405716
TIMM50,Brain,BP,Wald ratio,1,1.049,8.87E-02,NA,NA,NA,0.01953851
PYROXD2,Brain,BP,Wald ratio,1,1.045,8.88E-02,NA,NA,NA,0.021524764
DNAJA3,Brain,BP,Wald ratio,1,1.062,9.16E-02,NA,NA,NA,0.022586394
ZFP69,Brain,BP,Wald ratio,1,0.956,9.19E-02,NA,NA,NA,0.024829851
LCLAT1,Brain,BP,Wald ratio,1,1.031,9.20E-02,NA,NA,NA,0.022309761
GRB10,Brain,BP,Wald ratio,1,1.094,9.28E-02,NA,NA,NA,0.028431656
CFAP61,Brain,BP,Wald ratio,1,0.945,9.37E-02,NA,NA,NA,0.02025375
ZNF415,Brain,BP,Wald ratio,1,1.03,9.48E-02,NA,NA,NA,0.018540262
CTSB,Brain,BP,Wald ratio,1,1.039,9.55E-02,NA,NA,NA,0.019961661
ENSG00000254990,Brain,BP,Wald ratio,1,0.941,9.56E-02,NA,NA,NA,0.018807735
RSPO2,Brain,BP,Wald ratio,1,1.042,9.61E-02,NA,NA,NA,0.021928229
ENSG00000233754,Brain,BP,Wald ratio,1,1.043,9.82E-02,NA,NA,NA,0.019898669
NARF,Brain,BP,Wald ratio,1,0.945,9.83E-02,NA,NA,NA,0.018769011
SSC5D,Brain,BP,Wald ratio,1,1.058,9.84E-02,NA,NA,NA,0.018761495
PKP3,Brain,BP,Wald ratio,1,1.061,9.94E-02,NA,NA,NA,0.023547101
FEZ2,Brain,BP,Wald ratio,1,0.962,9.96E-02,NA,NA,NA,0.018759397
ECPAS,Brain,BP,Wald ratio,1,0.973,9.99E-02,NA,NA,NA,0.017615554
GPLD1,Brain,BP,Wald ratio,1,1.054,1.00E-01,NA,NA,NA,0.024675106
ENSG00000257943,Brain,BP,Wald ratio,1,0.949,1.01E-01,NA,NA,NA,0.017892231
FMN2,Brain,BP,Wald ratio,1,0.95,1.01E-01,NA,NA,NA,0.017892239
PROM2,Brain,BP,Wald ratio,1,0.937,1.02E-01,NA,NA,NA,0.02042902
C5orf64,Brain,BP,Wald ratio,1,0.929,1.03E-01,NA,NA,NA,0.035234721
FOXP1,Brain,BP,Wald ratio,1,1.047,1.03E-01,NA,NA,NA,0.017587287
