Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
IRS2,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.794,4.41E-03,NA,NA,NA,0.001274672
NDST1,Brain Cortex,ANX,Wald ratio,1,0.7,4.47E-03,NA,NA,NA,0.451372352
AIRE,Brain Substantia nigra,ANX,Wald ratio,1,0.798,4.47E-03,NA,NA,NA,0.000471505
AXIN2,Brain Hypothalamus,ANX,Wald ratio,1,0.753,4.48E-03,NA,NA,NA,0.000691046
CD300A,Brain Cortex,ANX,Wald ratio,1,0.718,4.50E-03,NA,NA,NA,0.443155805
ZFR,Brain Spinal cord cervical,ANX,Wald ratio,1,1.183,4.50E-03,NA,NA,NA,0.010209335
TBCA,Brain Substantia nigra,ANX,Wald ratio,1,1.23,4.55E-03,NA,NA,NA,0.00098145
TMUB1,Brain Spinal cord cervical,ANX,Wald ratio,1,0.871,4.58E-03,NA,NA,NA,0.00273819
ARSA,Brain Hypothalamus,ANX,Wald ratio,1,1.1,4.59E-03,NA,NA,NA,0.468261544
RP4-545C24.1,Brain Cortex,ANX,Wald ratio,1,0.594,4.60E-03,NA,NA,NA,0.531573359
TOX2,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.164,4.69E-03,NA,NA,NA,0.001057567
ALDH1A3,Brain Hypothalamus,ANX,Wald ratio,1,0.789,4.74E-03,NA,NA,NA,0.001175345
STK35,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.862,4.87E-03,NA,NA,NA,0.002537715
ADCY2,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.91,4.99E-03,NA,NA,NA,0.45524889
RNASEK,Brain Cortex,ANX,Wald ratio,1,0.358,5.13E-03,NA,NA,NA,0.460067297
C17orf49,Brain Cortex,ANX,Wald ratio,1,0.604,5.13E-03,NA,NA,NA,0.460067297
SAMD13,Brain Substantia nigra,ANX,Wald ratio,1,0.853,5.20E-03,NA,NA,NA,0.002901743
ANKRD6,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.209,5.21E-03,NA,NA,NA,0.000919817
PSMC3,Brain Spinal cord cervical,ANX,Wald ratio,1,1.332,5.27E-03,NA,NA,NA,0.004514864
SEC23IP,Brain Hypothalamus,ANX,Wald ratio,1,1.159,5.47E-03,NA,NA,NA,0.001750612
UNC5A,Brain Hypothalamus,ANX,Wald ratio,1,1.15,5.51E-03,NA,NA,NA,0.007739545
SDHAP2,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.172,5.73E-03,NA,NA,NA,0.49807292
CLUL1,Brain Spinal cord cervical,ANX,Wald ratio,1,1.165,5.78E-03,NA,NA,NA,0.126199065
METTL22,Brain Cortex,ANX,Wald ratio,1,2.757,5.86E-03,NA,NA,NA,0.439877738
TUBA8,Brain Hippocampus,ANX,Wald ratio,1,0.761,5.86E-03,NA,NA,NA,0.003196131
CLCN3,Brain Spinal cord cervical,ANX,Wald ratio,1,0.866,5.87E-03,NA,NA,NA,0.018265589
RPL27,Brain Hippocampus,ANX,Wald ratio,1,0.761,5.91E-03,NA,NA,NA,0.007026312
LAMTOR4,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.9,5.93E-03,NA,NA,NA,0.369123527
PABPC1L,Brain Hippocampus,ANX,Wald ratio,1,0.908,6.10E-03,NA,NA,NA,0.363876336
PABPC1L,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.078,6.10E-03,NA,NA,NA,0.363877892
PABPC1L,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.892,6.10E-03,NA,NA,NA,0.363512242
H2AFY,Brain Cortex,ANX,Wald ratio,1,1.586,6.12E-03,NA,NA,NA,0.46703538
LINC01833,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.865,6.12E-03,NA,NA,NA,0.018076461
ADCY2,Brain Putamen basal ganglia,ANX,Wald ratio,1,0.91,6.12E-03,NA,NA,NA,0.416513996
RPS18,Brain Cortex,ANX,Wald ratio,1,3.049,6.18E-03,NA,NA,NA,0.456995738
PRRC2A,Brain Cortex,ANX,Wald ratio,1,1.307,6.18E-03,NA,NA,NA,0.456995738
NRSN2,Brain Spinal cord cervical,ANX,Wald ratio,1,0.597,6.20E-03,NA,NA,NA,0.000459391
SCN1A,Brain Cortex,ANX,Inverse variance weighted,2,1.486,6.23E-03,NA,0.276609257,NA,0.610895438
