Gene,Cell,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
MPHOSPH9,Sert_D30,ADHD,Wald ratio,1,1.116,2.83E-05,NA,NA,NA,0.974406572
SLC9B1,Sert_D52,ADHD,Wald ratio,1,1.123,2.87E-05,NA,NA,NA,0.966383814
MPHOSPH9,DA_D52,ADHD,Wald ratio,1,1.106,2.88E-05,NA,NA,NA,0.972315825
SNORC,Sert_D52_ROT,ADHD,Wald ratio,1,1.106,3.00E-05,NA,NA,NA,0.96671058
ATG16L1,Microglia,ADHD,Wald ratio,1,1.14,3.17E-05,NA,NA,NA,0.002571032
CDK5RAP2,Endothelial cells,ADHD,Wald ratio,1,0.865,3.19E-05,NA,NA,NA,0.004009667
C7orf50,Astrocytes,ADHD,Wald ratio,1,0.793,3.23E-05,NA,NA,NA,0.002527493
LRRN3,P_FPP_D11,ADHD,Wald ratio,1,1.202,3.34E-05,NA,NA,NA,0.9616557
CDH26,Microglia,ADHD,Wald ratio,1,1.19,3.36E-05,NA,NA,NA,0.003172022
PHACTR3,OPCs / COPs,ADHD,Wald ratio,1,0.72,3.36E-05,NA,NA,NA,0.00307668
PFKM,Astrocytes,ADHD,Wald ratio,1,1.312,3.45E-05,NA,NA,NA,0.002247071
RILPL1,Excitatory neurons,ADHD,Wald ratio,1,1.236,3.56E-05,NA,NA,NA,0.026561796
MEF2C,Inhibitory neurons,ADHD,Wald ratio,1,1.491,3.65E-05,NA,NA,NA,0.002914265
GNAZ,FPP_D11,ADHD,Wald ratio,1,1.45,3.78E-05,NA,NA,NA,0.512216897
SUOX,Excitatory neurons,ADHD,Wald ratio,1,1.226,3.85E-05,NA,NA,NA,0.002085449
RPS26,Endothelial cells,ADHD,Wald ratio,1,0.92,3.85E-05,NA,NA,NA,0.286388087
RPS26,FPP_D11,ADHD,Wald ratio,1,1.044,3.85E-05,NA,NA,NA,0.956979171
RPS26,Sert_D30,ADHD,Wald ratio,1,1.035,3.85E-05,NA,NA,NA,0.956979171
RPS26,P_FPP_D11,ADHD,Wald ratio,1,1.039,3.85E-05,NA,NA,NA,0.956979171
RPS26,DA_D52_ROT,ADHD,Wald ratio,1,1.032,3.85E-05,NA,NA,NA,0.956979171
RPS26,Sert_D52_ROT,ADHD,Wald ratio,1,1.031,3.85E-05,NA,NA,NA,0.956979171
RPL41,P_FPP_D11,ADHD,Wald ratio,1,0.662,3.85E-05,NA,NA,NA,0.951332547
RPS26,Epen1_D30,ADHD,Wald ratio,1,1.034,3.85E-05,NA,NA,NA,0.956979171
RPS26,Epen1_D52_ROT,ADHD,Wald ratio,1,1.029,3.85E-05,NA,NA,NA,0.956979171
