Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
DDHD2,BannerBBDP,ASD,Wald ratio,1,55.438,6.79E-03,NA,NA,NA,4.24E-07
CATH,ROSMAP,ASD,Weighted median,5,0.802,6.97E-03,0.923998995,0.814766494,0.373178918,4.70E-07
WDR12,ROSMAP,ASD,Wald ratio,1,0.039,7.10E-03,NA,NA,NA,2.30E-06
DUS26,BannerBBDP,ASD,Wald ratio,1,0.081,7.13E-03,NA,NA,NA,5.27E-05
COX7C,BannerBBDP,ASD,Wald ratio,1,0.021,7.30E-03,NA,NA,NA,3.00E-07
BAG4,BannerBBDP,ASD,Inverse variance weighted,2,53889800000,7.35E-03,NA,0.587297742,NA,2.90E-06
WDTC1,BannerBBDP,ASD,Inverse variance weighted,2,4.086,7.37E-03,NA,0.758171646,NA,4.57E-07
RPGF4,BannerBBDP,ASD,Inverse variance weighted,5,0.125,7.43E-03,0.68143048,0.801486365,0.735951162,3.43E-07
MXRA7,BannerBBDP,ASD,Inverse variance weighted,2,4.658,7.48E-03,NA,0.865053486,NA,0.01168038
PLBL2,BannerBBDP,ASD,Wald ratio,1,0.11,7.60E-03,NA,NA,NA,6.52E-07
BOLA1,BannerBBDP,ASD,Wald ratio,1,0.644,7.69E-03,NA,NA,NA,0.290991699
H2B2F,BannerBBDP,ASD,Wald ratio,1,17.294,7.69E-03,NA,NA,NA,5.42E-06
SV2A,BannerBBDP,ASD,Wald ratio,1,164.613,7.69E-03,NA,NA,NA,1.62E-06
SF3B4,BannerBBDP,ASD,Wald ratio,1,152220.6,7.69E-03,NA,NA,NA,5.54E-06
H2A2B,BannerBBDP,ASD,Wald ratio,1,7.084,7.69E-03,NA,NA,NA,9.37E-06
H2A2C,BannerBBDP,ASD,Wald ratio,1,49.135,7.69E-03,NA,NA,NA,4.57E-05
MOC2B,BannerBBDP,ASD,Wald ratio,1,1.55,7.78E-03,NA,NA,NA,2.97E-07
MOC2A,BannerBBDP,ASD,Wald ratio,1,20.02,7.78E-03,NA,NA,NA,2.41E-07
MCES,BannerBBDP,ASD,Wald ratio,1,0.018,7.88E-03,NA,NA,NA,7.97E-08
LACTB,BannerBBDP,ASD,Wald ratio,1,1.54,7.92E-03,NA,NA,NA,0.197466512
RAB8B,BannerBBDP,ASD,Wald ratio,1,6.808,7.92E-03,NA,NA,NA,2.11E-06
LACTB,ROSMAP,ASD,Wald ratio,1,1.552,7.92E-03,NA,NA,NA,0.197466526
RAB8B,ROSMAP,ASD,Wald ratio,1,209.685,7.92E-03,NA,NA,NA,0.001177019
MYH14,BannerBBDP,ASD,Inverse variance weighted,2,3.461,7.94E-03,NA,0.365942023,NA,7.88E-07
RMC1,BannerBBDP,ASD,Wald ratio,1,0.124,8.13E-03,NA,NA,NA,3.05E-08
NPC1,BannerBBDP,ASD,Wald ratio,1,0.134,8.13E-03,NA,NA,NA,1.57E-07
H2B2F,ROSMAP,ASD,Wald ratio,1,544.109,8.19E-03,NA,NA,NA,1.15E-05
H2A2C,ROSMAP,ASD,Wald ratio,1,0.603,8.19E-03,NA,NA,NA,1.35E-05
BOLA1,ROSMAP,ASD,Wald ratio,1,0.686,8.19E-03,NA,NA,NA,0.299918411
SF3B4,ROSMAP,ASD,Wald ratio,1,0,8.19E-03,NA,NA,NA,3.94E-06
H2A2B,ROSMAP,ASD,Wald ratio,1,297.162,8.19E-03,NA,NA,NA,2.17E-05
OTU7B,ROSMAP,ASD,Wald ratio,1,0.043,8.19E-03,NA,NA,NA,1.30E-06
SV2A,ROSMAP,ASD,Wald ratio,1,0,8.19E-03,NA,NA,NA,8.47E-06
S39A6,BannerBBDP,ASD,Inverse variance weighted,2,0.118,8.25E-03,NA,0.394834705,NA,6.52E-06
VP13C,BannerBBDP,ASD,Inverse variance weighted,4,0.224,8.26E-03,0.45616998,0.649770599,0.812572672,4.00E-07
ERO1A,ROSMAP,ASD,Inverse variance weighted,2,10.704,8.27E-03,NA,0.241316385,NA,2.89E-07
ST32C,ROSMAP,ASD,Inverse variance weighted,3,7.875,8.34E-03,0.486008245,0.756835741,0.833256009,2.71E-07
CDR2L,BannerBBDP,ASD,Inverse variance weighted,2,95.607,8.45E-03,NA,0.354591073,NA,0.000175357
HGS,BannerBBDP,ASD,Inverse variance weighted,2,183.694,8.57E-03,NA,0.492123206,NA,3.49E-07
SIR3,ROSMAP,ASD,Inverse variance weighted,2,10.152,8.57E-03,NA,0.804869243,NA,1.93E-07
NT5C,BannerBBDP,ASD,Wald ratio,1,2.055,8.69E-03,NA,NA,NA,2.42E-07
KCTD2,BannerBBDP,ASD,Wald ratio,1,5.57,8.69E-03,NA,NA,NA,5.85E-07
JUPI1,BannerBBDP,ASD,Wald ratio,1,16.261,8.69E-03,NA,NA,NA,9.35E-08
MXRA7,ROSMAP,ASD,Inverse variance weighted,2,2.93,8.80E-03,NA,0.431120187,NA,1.64E-07
SCAF4,ROSMAP,ASD,Inverse variance weighted,2,42.335,8.81E-03,NA,0.628663832,NA,7.66E-08
VATC1,ROSMAP,ASD,Inverse variance weighted,3,11.532,8.87E-03,0.925852236,0.400889251,0.406128768,5.20E-07
MAG,BannerBBDP,ASD,Inverse variance weighted,4,1.802,8.88E-03,0.590853468,0.564768295,0.425636674,1.00E-07
SQOR,BannerBBDP,ASD,Inverse variance weighted,5,0.6,8.90E-03,0.943132756,0.983564871,0.982059329,3.22E-07
MIB1,BannerBBDP,ASD,Wald ratio,1,0.288,9.02E-03,NA,NA,NA,6.15E-08
PROS,BannerBBDP,ASD,Inverse variance weighted,2,2.076,9.08E-03,NA,0.641375887,NA,1.63E-06
RPR1A,BannerBBDP,ASD,Inverse variance weighted,2,8999772000,9.23E-03,NA,0.336610363,NA,2.87E-06
A1AT,ROSMAP,ASD,Weighted median,4,1.645,9.32E-03,0.026135789,0.00772324,0.377394613,3.31E-07
SRS12,BannerBBDP,ASD,Wald ratio,1,0.34,9.46E-03,NA,NA,NA,7.23E-07
GBRB2,ROSMAP,ASD,Inverse variance weighted,2,6.212,9.52E-03,NA,0.206983857,NA,1.85E-05
BICD1,ROSMAP,ASD,Inverse variance weighted,5,4.328,9.70E-03,0.394859921,0.495164385,0.568158047,2.25E-06
GPC5,ROSMAP,ASD,MR Egger,13,0.303,1.01E-02,0.935774784,0.778429573,0.102014996,8.58E-07
PDIA6,BannerBBDP,ASD,Inverse variance weighted,3,4.856,1.04E-02,0.696001324,0.411641122,0.423711017,5.21E-08
FAF1,ROSMAP,ASD,Inverse variance weighted,4,0.188,1.04E-02,0.307177278,0.500808246,0.979250514,1.70E-07
RIPL1,ROSMAP,ASD,Wald ratio,1,24.532,1.04E-02,NA,NA,NA,8.57E-08
EI2BA,ROSMAP,ASD,Wald ratio,1,1561.511,1.04E-02,NA,NA,NA,4.20E-08
TMED2,ROSMAP,ASD,Wald ratio,1,73.415,1.04E-02,NA,NA,NA,9.99E-07
SRAC1,ROSMAP,ASD,Inverse variance weighted,4,4.494,1.05E-02,0.804791515,0.323444784,0.223101266,7.62E-07
SNX5,BannerBBDP,ASD,Inverse variance weighted,4,10.313,1.06E-02,0.216140537,0.381760506,0.981728794,0.000321245
MCLN1,BannerBBDP,ASD,Inverse variance weighted,4,2.131,1.07E-02,0.824974973,0.912924465,0.742373746,2.58E-07
GPC5B,BannerBBDP,ASD,Inverse variance weighted,2,2.837,1.07E-02,NA,0.456330479,NA,1.06E-06
SNW1,ROSMAP,ASD,Inverse variance weighted,2,11.268,1.07E-02,NA,0.718965558,NA,5.18E-07
SPF45,BannerBBDP,ASD,Simple mode,7,142.369,1.08E-02,0.171019217,0.091716611,0.213037151,3.65E-07
CPSF5,ROSMAP,ASD,Inverse variance weighted,2,0.04,1.08E-02,NA,0.467066674,NA,1.38E-07
CTTB2,ROSMAP,ASD,Inverse variance weighted,3,0.113,1.09E-02,0.479061326,0.383421707,0.444890572,8.68E-08
MYH14,ROSMAP,ASD,Inverse variance weighted,4,4.019,1.11E-02,0.854470051,0.902246591,0.660851389,0.000144135
ECHD1,BannerBBDP,ASD,Wald ratio,1,0.095,1.13E-02,NA,NA,NA,3.03E-07
RN146,BannerBBDP,ASD,Wald ratio,1,0,1.13E-02,NA,NA,NA,9.82E-08
DIRA1,ROSMAP,ASD,Inverse variance weighted,2,31.966,1.13E-02,NA,0.817846276,NA,4.90E-08
MET16,ROSMAP,ASD,Inverse variance weighted,3,0.15,1.14E-02,0.271215791,0.221548519,0.436960943,7.40E-07
MET16,BannerBBDP,ASD,Inverse variance weighted,2,2.198,1.15E-02,NA,0.108416166,NA,1.20E-07
EXOG,ROSMAP,ASD,Inverse variance weighted,3,2.117,1.15E-02,0.798551287,0.603073491,0.508784565,6.11E-08
AP4E1,BannerBBDP,ASD,Wald ratio,1,0.166,1.17E-02,NA,NA,NA,0.000225277
TP8L3,BannerBBDP,ASD,Wald ratio,1,0.171,1.17E-02,NA,NA,NA,7.81E-08
G45IP,ROSMAP,ASD,Inverse variance weighted,2,0.005,1.17E-02,NA,0.774890605,NA,5.14E-07
RB27B,BannerBBDP,ASD,Inverse variance weighted,3,1.395,1.18E-02,0.987423838,0.854118751,0.674355791,0.071325429
DCE2,BannerBBDP,ASD,Inverse variance weighted,2,0.121,1.18E-02,NA,0.31706724,NA,0.000107759
AKA7G,BannerBBDP,ASD,Inverse variance weighted,2,0.354,1.22E-02,NA,0.923741589,NA,8.28E-05
RB12B,ROSMAP,ASD,Wald ratio,1,0.028,1.23E-02,NA,NA,NA,1.66E-07
CSN7B,ROSMAP,ASD,Inverse variance weighted,2,8.431,1.24E-02,NA,0.836032621,NA,6.96E-07
PUR1,BannerBBDP,ASD,Inverse variance weighted,2,0.089,1.25E-02,NA,0.408078265,NA,5.63E-08
LSP1,ROSMAP,ASD,Weighted median,3,0.717,1.25E-02,0.568593815,0.651108965,0.598500433,0.037570366
SHC3,BannerBBDP,ASD,Inverse variance weighted,3,10.632,1.27E-02,0.582788846,0.501179757,0.487778855,1.14E-05
PDE6D,ROSMAP,ASD,Inverse variance weighted,2,0.026,1.27E-02,NA,0.769154152,NA,4.67E-07
STT3B,BannerBBDP,ASD,Inverse variance weighted,2,36.744,1.28E-02,NA,0.630761138,NA,9.72E-08
TMED9,ROSMAP,ASD,Wald ratio,1,0.057,1.28E-02,NA,NA,NA,2.71E-06
KAPCB,BannerBBDP,ASD,Inverse variance weighted,2,13.238,1.30E-02,NA,0.743128039,NA,5.67E-06
NOA1,ROSMAP,ASD,Inverse variance weighted,2,0.546,1.30E-02,NA,0.561530558,NA,1.04E-06
